;scaler;dimension;n_clusters;best_params;best_value;best_original_value
0;standard;3;3;{'min_cluster_size': 116, 'min_samples': 74, 'cluster_selection_epsilon': 0.11421450419394243, 'alpha': 1.6631743364148415, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.684270135124394;0.5132026013432955
1;standard;4;3;{'min_cluster_size': 74, 'min_samples': 74, 'cluster_selection_epsilon': 0.010079627119578109, 'alpha': 0.9933116241878092, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6420869851256177;0.4815652388442133
2;standard;5;3;{'min_cluster_size': 123, 'min_samples': 71, 'cluster_selection_epsilon': 0.07510606935553739, 'alpha': 1.917363303403113, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6604949490794463;0.49537121180958477
3;standard;6;3;{'min_cluster_size': 132, 'min_samples': 75, 'cluster_selection_epsilon': 0.2672074252759988, 'alpha': 1.7896517516689774, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.5861178761743118;0.4395884071307339
4;standard;7;3;{'min_cluster_size': 70, 'min_samples': 73, 'cluster_selection_epsilon': 0.5490269270339442, 'alpha': 1.219983406387215, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.641147593464108;0.480860695098081
5;standard;8;3;{'min_cluster_size': 87, 'min_samples': 73, 'cluster_selection_epsilon': 0.4914224432214933, 'alpha': 1.7644907150425775, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.6942854644438736;0.5207140983329053
6;standard;9;3;{'min_cluster_size': 73, 'min_samples': 75, 'cluster_selection_epsilon': 0.040050893927574126, 'alpha': 1.1399355642822928, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.7422863589079248;0.5567147691809436
7;standard;10;3;{'min_cluster_size': 50, 'min_samples': 75, 'cluster_selection_epsilon': 0.7883981514961925, 'alpha': 1.299665650755748, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.661855584159321;0.4963916881194908
8;standard;11;3;{'min_cluster_size': 109, 'min_samples': 73, 'cluster_selection_epsilon': 0.07503189149822405, 'alpha': 1.729319524387675, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.674433265408374;0.5058249490562805
9;standard;12;3;{'min_cluster_size': 51, 'min_samples': 75, 'cluster_selection_epsilon': 0.04762321603758505, 'alpha': 0.9561491359881679, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.6403046165756534;0.48022846243174006
10;standard;13;3;{'min_cluster_size': 75, 'min_samples': 75, 'cluster_selection_epsilon': 0.8782314080346085, 'alpha': 1.0261279990858287, 'metric': 'euclidean', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.7107374376330762;0.5330530782248072
11;standard;14;3;{'min_cluster_size': 127, 'min_samples': 72, 'cluster_selection_epsilon': 0.28375559695529423, 'alpha': 0.8163069586208308, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6965459461770211;0.5224094596327659
12;minmax;3;4;{'min_cluster_size': 54, 'min_samples': 57, 'cluster_selection_epsilon': 0.01901109101281692, 'alpha': 1.202757939027835, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.5922379854729742;0.4737903883783794
13;minmax;4;3;{'min_cluster_size': 89, 'min_samples': 75, 'cluster_selection_epsilon': 0.011624281231276287, 'alpha': 0.8204058496372525, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.7005879483752391;0.5254409612814294
14;minmax;5;4;{'min_cluster_size': 51, 'min_samples': 55, 'cluster_selection_epsilon': 0.02291848947177981, 'alpha': 1.7816816001026539, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.5483720140591899;0.43869761124735196
15;minmax;6;4;{'min_cluster_size': 54, 'min_samples': 60, 'cluster_selection_epsilon': 0.07245494354129843, 'alpha': 0.751671341826773, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.5651043306181246;0.45208346449449965
16;minmax;7;3;{'min_cluster_size': 70, 'min_samples': 68, 'cluster_selection_epsilon': 0.5928882462811778, 'alpha': 1.8608603444110745, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6618951158279192;0.49642133687093937
17;minmax;8;3;{'min_cluster_size': 139, 'min_samples': 72, 'cluster_selection_epsilon': 0.7553170947374206, 'alpha': 1.6192405559019556, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.5754326516522769;0.4315744887392077
18;minmax;9;7;{'min_cluster_size': 51, 'min_samples': 25, 'cluster_selection_epsilon': 0.4897854588189186, 'alpha': 1.4347346811163428, 'metric': 'euclidean', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6099851224087438;0.5337369821076509
19;minmax;10;5;{'min_cluster_size': 50, 'min_samples': 50, 'cluster_selection_epsilon': 0.061694702398448834, 'alpha': 1.5646596643271176, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.5507930269607652;0.458994189133971
20;minmax;11;4;{'min_cluster_size': 56, 'min_samples': 64, 'cluster_selection_epsilon': 0.9828910708963888, 'alpha': 1.7665499191194287, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.5430825468518462;0.434466037481477
21;minmax;12;4;{'min_cluster_size': 62, 'min_samples': 37, 'cluster_selection_epsilon': 0.01021813854770442, 'alpha': 0.9881865578405911, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.5909357326865727;0.4727485861492582
22;minmax;13;4;{'min_cluster_size': 50, 'min_samples': 75, 'cluster_selection_epsilon': 0.05832380724948572, 'alpha': 1.6287266179846627, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.5725422353923705;0.4580337883138964
23;minmax;14;4;{'min_cluster_size': 50, 'min_samples': 59, 'cluster_selection_epsilon': 0.017444049214913646, 'alpha': 1.067092335513406, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.577652690113996;0.46212215209119684
24;robust;3;3;{'min_cluster_size': 87, 'min_samples': 75, 'cluster_selection_epsilon': 0.018778679969575954, 'alpha': 0.9743000662330068, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6064752468591246;0.45485643514434343
25;robust;4;3;{'min_cluster_size': 76, 'min_samples': 75, 'cluster_selection_epsilon': 0.014156753401997874, 'alpha': 0.8513299549452337, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6658955179456512;0.4994216384592384
26;robust;5;3;{'min_cluster_size': 121, 'min_samples': 72, 'cluster_selection_epsilon': 0.56365026528333, 'alpha': 0.9570149340723717, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.7472563670445164;0.5604422752833873
27;robust;6;3;{'min_cluster_size': 72, 'min_samples': 75, 'cluster_selection_epsilon': 0.021271612416017046, 'alpha': 1.4631338068802056, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.694594704246597;0.5209460281849477
28;robust;7;3;{'min_cluster_size': 69, 'min_samples': 64, 'cluster_selection_epsilon': 0.039013054612858436, 'alpha': 1.1990280815116336, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6026162191136993;0.45196216433527453
29;robust;8;3;{'min_cluster_size': 70, 'min_samples': 74, 'cluster_selection_epsilon': 0.0983098096316802, 'alpha': 1.6452946279188645, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.660239500997239;0.4951796257479293
30;robust;9;3;{'min_cluster_size': 128, 'min_samples': 74, 'cluster_selection_epsilon': 0.012304721011594116, 'alpha': 0.9793056268478081, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6220090789584672;0.46650680921885046
31;robust;10;3;{'min_cluster_size': 134, 'min_samples': 73, 'cluster_selection_epsilon': 0.01853259485139779, 'alpha': 1.5312230837654663, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6672874617422939;0.5004655963067205
32;robust;11;3;{'min_cluster_size': 84, 'min_samples': 72, 'cluster_selection_epsilon': 0.013933171094135445, 'alpha': 1.9943094158649195, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6612152603023695;0.4959114452267772
33;robust;12;3;{'min_cluster_size': 50, 'min_samples': 73, 'cluster_selection_epsilon': 0.046241711230137414, 'alpha': 1.520654985322745, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.679474437471063;0.5096058281032972
34;robust;13;3;{'min_cluster_size': 79, 'min_samples': 72, 'cluster_selection_epsilon': 0.06395944136060396, 'alpha': 1.9098298120249924, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6217811481711417;0.4663358611283563
35;robust;14;3;{'min_cluster_size': 126, 'min_samples': 58, 'cluster_selection_epsilon': 0.1424587875147925, 'alpha': 1.253873194183111, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.7242799621871019;0.5432099716403265
36;maxabs;3;4;{'min_cluster_size': 61, 'min_samples': 69, 'cluster_selection_epsilon': 0.19019936956007558, 'alpha': 0.6039285364791721, 'metric': 'euclidean', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.5454068374334855;0.4363254699467884
37;maxabs;4;4;{'min_cluster_size': 59, 'min_samples': 54, 'cluster_selection_epsilon': 0.03311919230589927, 'alpha': 0.799103599471, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.5828478388068848;0.4662782710455079
