;scaler;dimension;n_clusters;best_params;best_value;best_original_value
0;standard;3;3;{'min_cluster_size': 105, 'min_samples': 59, 'cluster_selection_epsilon': 0.20813359262658876, 'alpha': 1.8353453782376767, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6700220228827451;0.5700220228827452
1;standard;4;3;{'min_cluster_size': 116, 'min_samples': 75, 'cluster_selection_epsilon': 0.05128307219475783, 'alpha': 0.6539279253125725, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6124739457588719;0.512473945758872
2;standard;5;3;{'min_cluster_size': 107, 'min_samples': 75, 'cluster_selection_epsilon': 0.01804701436303201, 'alpha': 0.7897539729845269, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6088917897252418;0.5088917897252418
3;standard;6;4;{'min_cluster_size': 56, 'min_samples': 40, 'cluster_selection_epsilon': 0.014744193974590744, 'alpha': 1.7589597301401982, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.5769703490105369;0.5769703490105369
4;standard;7;3;{'min_cluster_size': 58, 'min_samples': 75, 'cluster_selection_epsilon': 0.0324027890541577, 'alpha': 1.3585467957018451, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.5749110981572987;0.47491109815729865
5;standard;8;3;{'min_cluster_size': 148, 'min_samples': 75, 'cluster_selection_epsilon': 0.044187189823680015, 'alpha': 0.9432791557400854, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6056798717081054;0.5056798717081055
6;standard;9;4;{'min_cluster_size': 54, 'min_samples': 33, 'cluster_selection_epsilon': 0.4061476384350072, 'alpha': 0.6819147476775458, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6079312445376401;0.6079312445376401
7;standard;10;3;{'min_cluster_size': 100, 'min_samples': 75, 'cluster_selection_epsilon': 0.011217699632258629, 'alpha': 1.4445339236811294, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6166055388597327;0.5166055388597327
8;standard;11;3;{'min_cluster_size': 83, 'min_samples': 75, 'cluster_selection_epsilon': 0.45369884035533675, 'alpha': 0.5103045416359561, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.5839321948860732;0.48393219488607314
9;standard;12;3;{'min_cluster_size': 119, 'min_samples': 75, 'cluster_selection_epsilon': 0.018569850373662246, 'alpha': 1.5351278367126813, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.6242451211634316;0.5242451211634316
10;standard;13;4;{'min_cluster_size': 50, 'min_samples': 42, 'cluster_selection_epsilon': 0.013640122309125915, 'alpha': 1.6730039017196399, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.5254955140611638;0.5254955140611638
11;standard;14;5;{'min_cluster_size': 51, 'min_samples': 39, 'cluster_selection_epsilon': 0.5575460434303743, 'alpha': 1.3826185336064654, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.4922997813672357;0.4922997813672357
