;scaler;dimension;n_clusters;best_params;best_value;best_original_value
0;standard;3;3;{'min_cluster_size': 133, 'min_samples': 73, 'cluster_selection_epsilon': 0.029310697088884553, 'alpha': 1.1865338461927075, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6755498647689819;0.67554986
1;standard;4;3;{'min_cluster_size': 96, 'min_samples': 75, 'cluster_selection_epsilon': 0.16086420879630767, 'alpha': 1.9712954022633202, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6617009043693542;0.6617009
2;standard;5;3;{'min_cluster_size': 150, 'min_samples': 75, 'cluster_selection_epsilon': 0.9075315208007043, 'alpha': 0.8756336313402209, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6554062962532043;0.6554063
3;standard;6;3;{'min_cluster_size': 90, 'min_samples': 74, 'cluster_selection_epsilon': 0.19929724133513452, 'alpha': 1.3072855886380206, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.6576812267303467;0.6576812
4;standard;7;3;{'min_cluster_size': 102, 'min_samples': 72, 'cluster_selection_epsilon': 0.1508059668111256, 'alpha': 0.6128244127120208, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6452949643135071;0.64529496
5;standard;8;3;{'min_cluster_size': 86, 'min_samples': 75, 'cluster_selection_epsilon': 0.7726047729736798, 'alpha': 1.6261991977208448, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6822732090950012;0.6822732
6;standard;9;3;{'min_cluster_size': 146, 'min_samples': 75, 'cluster_selection_epsilon': 0.011508291449898041, 'alpha': 0.618460784973027, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.6591321229934692;0.6591321
7;standard;10;3;{'min_cluster_size': 109, 'min_samples': 74, 'cluster_selection_epsilon': 0.03534754873796376, 'alpha': 0.9295520112131637, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.6706719398498535;0.67067194
8;standard;11;3;{'min_cluster_size': 108, 'min_samples': 75, 'cluster_selection_epsilon': 0.044966559191942354, 'alpha': 1.179402784119163, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.6536372900009155;0.6536373
9;standard;12;3;{'min_cluster_size': 125, 'min_samples': 75, 'cluster_selection_epsilon': 0.05761050616582425, 'alpha': 0.751008714680825, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.6229512691497803;0.62295127
