;scaler;dimension;n_clusters;best_params;best_value;best_original_value
0;standard;3;3;{'min_cluster_size': 99, 'min_samples': 71, 'cluster_selection_epsilon': 0.11954900156306027, 'alpha': 0.5023149261030161, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};0.32131780385971065;0.6213178
1;standard;4;3;{'min_cluster_size': 96, 'min_samples': 72, 'cluster_selection_epsilon': 0.0822700979330152, 'alpha': 0.8150561859135854, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.3582407355308532;0.65824074
2;standard;5;3;{'min_cluster_size': 64, 'min_samples': 75, 'cluster_selection_epsilon': 0.01569051068178784, 'alpha': 0.8302326112558764, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3260207891464233;0.6260208
3;standard;6;3;{'min_cluster_size': 105, 'min_samples': 72, 'cluster_selection_epsilon': 0.983954135503428, 'alpha': 1.9044936593487263, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.3708059906959533;0.670806
4;standard;7;3;{'min_cluster_size': 108, 'min_samples': 75, 'cluster_selection_epsilon': 0.018564623920257255, 'alpha': 0.5840979435580127, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.3251217722892761;0.6251218
5;standard;8;3;{'min_cluster_size': 122, 'min_samples': 72, 'cluster_selection_epsilon': 0.10703178692591077, 'alpha': 1.384199654326094, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.3727998256683349;0.6727998
6;standard;9;3;{'min_cluster_size': 112, 'min_samples': 75, 'cluster_selection_epsilon': 0.017323334280818142, 'alpha': 1.957184643877416, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.35156197547912593;0.651562
7;standard;10;3;{'min_cluster_size': 84, 'min_samples': 67, 'cluster_selection_epsilon': 0.3210432284605414, 'alpha': 1.0092389396925276, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.32057352066040035;0.6205735
8;standard;11;3;{'min_cluster_size': 125, 'min_samples': 75, 'cluster_selection_epsilon': 0.02907345346706684, 'alpha': 1.071079978592925, 'metric': 'euclidean', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.3426502466201782;0.64265025
9;standard;12;3;{'min_cluster_size': 64, 'min_samples': 75, 'cluster_selection_epsilon': 0.01109891001194614, 'alpha': 1.2315268354155215, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};0.3505520343780517;0.65055203
10;standard;13;3;{'min_cluster_size': 133, 'min_samples': 75, 'cluster_selection_epsilon': 0.032401783602591216, 'alpha': 1.2987298829365637, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.3239194869995117;0.6239195
11;standard;14;3;{'min_cluster_size': 150, 'min_samples': 74, 'cluster_selection_epsilon': 0.3316511898405387, 'alpha': 1.6591116909037738, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.35024381875991817;0.6502438
12;minmax;3;2;{'min_cluster_size': 150, 'min_samples': 73, 'cluster_selection_epsilon': 0.02629826338476587, 'alpha': 1.0371332886456137, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.4176737546920776;0.61767375
13;minmax;4;2;{'min_cluster_size': 150, 'min_samples': 72, 'cluster_selection_epsilon': 0.8510609013101685, 'alpha': 1.9210294730343946, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};0.4174226999282837;0.6174227
14;minmax;5;3;{'min_cluster_size': 118, 'min_samples': 75, 'cluster_selection_epsilon': 0.16830350596379104, 'alpha': 0.8723936832072547, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.3510878801345825;0.6510879
15;minmax;6;3;{'min_cluster_size': 117, 'min_samples': 73, 'cluster_selection_epsilon': 0.017360688625941808, 'alpha': 1.4932672608392155, 'metric': 'euclidean', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};0.3415018439292907;0.64150184
