;scaler;dim_reduction;dimension;n_clusters;best_params;centers;best_value;best_original_value
0;standard;umap;15;3;{'n_clusters': 3, 'linkage': 'single', 'metric': 'euclidean'};"[[11.523492    9.041881    7.000405    1.2272036  -0.04438528  3.9292514
   8.212288    3.2554455   4.336512    8.015532    5.0049706   8.798681
   5.5588784   4.32198     6.01703   ]
 [-0.11543947  2.0427675   7.2382927   0.6269843   2.0087876   4.344941
   9.3646555   3.0020394   3.6896183   8.449499    5.019493    7.6241245
   5.9442534   4.3023486   5.5340114 ]
 [-2.719321   10.710907    6.761989    0.82158196  2.239765    4.3505
   8.743264    3.3157852   3.86489     8.415275    3.7058423   7.874948
   5.433095    3.1951416   5.825897  ]]";0.7210801839828491;0.7210802
1;standard;umap;16;3;{'n_clusters': 3, 'linkage': 'average', 'metric': 'euclidean'};"[[11.723983    9.2403145   6.8936553   1.2870736  -0.08495162  4.1177926
   8.143336    6.585509    4.3560233   8.077255    4.816653    8.71843
   5.7306085   3.9692502   3.8786201   5.1621842 ]
 [-2.8228774  10.341412    6.520191    0.8332442   1.9413581   4.1566834
   8.772653    6.825022    3.9848657   8.439067    3.815479    7.769903
   5.8061595   3.395862    4.1708016   4.6828403 ]
 [ 0.0734226   1.0246456   6.700499    0.3110541   2.4052649   3.4121063
   9.428511    7.713896    3.80197     8.35379     5.292473    8.006085
   5.1870255   3.9299316   5.3413754   4.570439  ]]";0.7366170287132263;0.736617
2;standard;umap;17;3;{'n_clusters': 3, 'linkage': 'average', 'metric': 'manhattan'};"[[11.740353    9.26526     6.9947433   1.3741368  -0.42408362  3.8956285
   8.16521     3.4830663   4.330318    8.165343    4.8460474   8.532695
   5.408929    4.1727057   5.879111    4.73227     6.106163  ]
 [-2.8039978  10.328735    6.557927    0.8388982   1.6803234   4.0466495
   9.2226715   2.9392023   3.8422484   8.59125     4.3906126   7.840674
   5.6361403   3.196487    5.8292747   5.0239697   6.064876  ]
 [ 0.36523455  1.513798    6.7983136   1.2172885   1.1115885   3.8348782
   8.969965    2.6813703   3.4771106   8.470272    4.165297    7.337792
   5.1002846   4.2556777   4.9272294   5.2386446   6.7161813 ]]";0.7250049114227295;0.7250049
3;standard;umap;18;3;{'n_clusters': 3, 'linkage': 'average', 'metric': 'euclidean'};"[[11.597441    9.186137    6.973018    1.2355498   0.16364442  3.6562655
   8.372679    3.335754    4.432813    8.224594    5.0416803   8.437243
   5.8515153   3.901144    5.9936275   5.120826    6.2087297   4.48595   ]
 [-2.771571   10.471496    6.570872    0.67618364  2.0254445   3.9910824
   8.852879    3.0798028   4.0525894   8.356985    3.9821687   7.3522363
   5.288953    3.0873687   6.0674744   4.895453    6.1660004   6.157207  ]
 [ 0.29927742  2.0835621   6.929937    0.8992305   1.5616457   3.7728174
   8.764196    2.7884355   3.9663785   7.8675947   5.179377    7.592303
   5.530311    3.8916116   5.359542    4.3677325   6.0716944   6.1938753 ]]";0.7151039242744446;0.7151039
4;standard;umap;19;3;{'n_clusters': 3, 'linkage': 'single', 'metric': 'cosine'};"[[11.559342    9.1935005   6.7986617   1.1774052  -0.07396512  3.7537625
   8.266386    3.2772493   4.3713984   8.413623    5.136303    8.672584
   5.5308433   3.8877022   6.084852    5.1769037   6.0208044   4.467179
   5.2750907 ]
 [-3.1506405  10.949314    7.0940304   0.69084823  2.00052     3.872208
   8.89892     2.9783742   4.0840054   8.331972    3.9537039   7.704245
   5.9362907   3.463419    5.901435    5.0704737   6.1233425   6.2256536
   5.8466315 ]
 [-0.15802374  1.962124    7.110267    0.6343858   2.0315568   4.059431
   9.533118    2.6573577   4.0371914   8.834936    5.2415743   7.2762065
   5.242046    4.379683    5.408431    5.228263    5.604254    5.7092175
   5.509938  ]]";0.7285281419754028;0.72852814
5;standard;umap;20;3;{'n_clusters': 3, 'linkage': 'single', 'metric': 'euclidean'};"[[ 1.1771428e+01  9.2663689e+00  6.5393996e+00  1.1650583e+00
   8.5510248e-03  3.6946263e+00  8.4049492e+00  3.2531826e+00
   4.2261157e+00  8.5099726e+00  5.1377678e+00  8.6255436e+00
   5.6604772e+00  4.0470371e+00  6.0994320e+00  5.2473063e+00
   5.9772134e+00  4.6166530e+00  5.5874386e+00  2.2449627e+00]
 [-1.7029797e-01  2.3632576e+00  7.1069636e+00  6.1473805e-01
   2.6792235e+00  3.1613345e+00  9.2120466e+00  2.5971203e+00
   4.5739551e+00  8.2737083e+00  4.9881005e+00  7.2367015e+00
   5.3162856e+00  4.5290389e+00  4.6115060e+00  5.2580562e+00
   5.8439159e+00  6.4360180e+00  5.8808060e+00  2.0445898e+00]
 [-2.6722336e+00  1.0488882e+01  6.9754567e+00  9.4865650e-01
   2.0149760e+00  4.1458859e+00  8.9923210e+00  3.0925095e+00
   4.2406378e+00  8.4629354e+00  3.7050672e+00  7.6085505e+00
   5.4227381e+00  3.3136902e+00  5.9535456e+00  4.9730744e+00
   6.5155292e+00  6.1519694e+00  5.7498765e+00  1.8272384e+00]]";0.7219709753990173;0.721971
6;standard;umap;21;3;{'n_clusters': 3, 'linkage': 'average', 'metric': 'euclidean'};"[[11.867242    9.431419    6.854163    1.2633343   0.34413126  3.296668
   8.425181    6.984359    4.284023    8.315468    4.9343762   8.778405
   5.9423666   3.7581382   4.1067047   5.138511    6.3674636   4.72586
   5.318628    2.1724446   4.4960127 ]
 [-2.7980144  10.356243    7.03746     0.84011436  2.2028968   4.2032876
   8.496127    7.0069566   4.059767    8.419285    4.414843    7.758178
   5.6959496   3.6162057   3.754957    4.7400527   6.2406735   5.8420653
   5.55386     2.1664956   4.7564588 ]
 [-0.10343096  1.6183962   6.825022    0.74215865  2.3696783   3.9289312
   9.104021    7.3269763   4.0445476   8.211733    4.4839263   7.7317863
   5.324135    3.7350066   4.5812154   5.5434093   6.177366    5.836099
   5.7940383   2.4141343   4.89796   ]]";0.7277824282646179;0.7277824
7;standard;umap;22;3;{'n_clusters': 3, 'linkage': 'average', 'metric': 'manhattan'};"[[11.596525    9.341052    6.782994    1.0955616   0.19830361  3.8862262
   8.317328    6.6985593   4.3798304   8.158752    4.954623    8.4026
   5.853714    3.89936     3.9329271   5.219586    6.24594     4.638211
   5.510909    2.1622744   4.7739706   4.7180567 ]
 [-2.916348   10.105734    6.7909255   0.8310528   1.9683175   3.9746609
   8.913963    6.939288    4.1160464   8.195172    4.1573606   7.4537964
   5.7980785   3.4955652   3.9086754   4.87999     6.1596985   6.2237725
   5.3929796   1.6895549   4.87069     4.482281  ]
 [-0.186002    1.0062405   6.731133    0.6676393   2.4158032   3.9175184
   8.525505    7.878794    3.7596838   8.162823    4.641965    7.860947
   6.3946104   3.7333293   4.877358    5.2642956   6.145322    6.3569293
   4.9448504   2.9740164   4.76413     5.099075  ]]";0.7367973327636719;0.73679733
8;standard;umap;23;3;{'n_clusters': 3, 'linkage': 'complete', 'metric': 'euclidean'};"[[11.753037    9.263973    6.810534    1.2952856   0.24888332  3.663659
   8.462145    3.4060538   4.3353386   8.233592    4.9988813   8.578463
   5.884893    3.817941    5.887858    4.9654355   6.1476164   4.8097305
   5.4445243   2.1905224   4.4453464   4.915633    6.375605  ]
 [-2.7060497  10.245308    6.8243036   0.543418    1.876849    4.0233927
   8.948246    2.7656207   4.1624317   8.513184    3.7066674   7.6899786
   5.4732637   2.980961    5.683209    5.160394    6.4426346   6.224217
   5.539145    1.8627595   4.9554787   4.4453335   6.9077497 ]
 [ 0.18864743  1.0317016   6.8377075   0.68161076  1.5522519   3.89113
   8.487953    2.9600163   4.1003075   8.5037985   5.300877    7.283202
   5.736499    4.2191734   5.0030713   4.77822     5.8289576   6.2041035
   5.0715027   2.9118912   5.0816784   4.4616504   7.3632364 ]]";0.7319990396499634;0.73199904
9;standard;umap;24;3;{'n_clusters': 3, 'linkage': 'single', 'metric': 'euclidean'};"[[11.760018    9.203181    6.5860825   1.1880544   0.09562549  3.5669105
   8.35018     3.2719803   4.4322996   8.518215    5.0553484   8.518479
   5.7643867   3.6686969   5.8594055   5.001599    6.1230264   4.7133937
   4.4930935   2.1203556   4.6885514   4.5000277   6.2590775   6.6155715 ]
 [-0.4287396   1.9236636   6.7490697   0.8307682   1.8280035   3.8966177
   9.43666     2.9949653   4.8013873   8.626191    5.638968    8.052841
   5.873746    4.3623056   5.400511    5.01332     6.443741    6.115325
   4.2965636   2.065972    4.9911222   4.314444    7.3729424   6.6014776 ]
 [-2.6887665  10.396413    6.9625425   0.6475171   2.0264292   4.251946
   8.8485775   3.0745368   4.210213    8.35496     3.94372     7.7865753
   5.4905133   3.0728576   5.806667    5.0083876   6.2179875   5.8734465
   4.376874    2.0113018   4.677793    4.497087    6.862951    6.349151  ]]";0.7258362174034119;0.7258362
