;scaler;dimension;n_clusters;best_params;best_value;best_original_value
0;standard;3;10;{'n_clusters': 10, 'linkage': 'average', 'metric': 'manhattan'};0.7195797485438363;0.6541634077671239
1;standard;4;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'manhattan'};0.7221450078103038;0.6189814352659746
2;standard;5;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'manhattan'};0.7334377625725449;0.6286609393478956
3;standard;6;7;{'n_clusters': 7, 'linkage': 'average', 'metric': 'manhattan'};0.631525114670359;0.5525844753365642
4;standard;7;6;{'n_clusters': 6, 'linkage': 'single', 'metric': 'cosine'};0.6485550658863027;0.5559043421882595
5;standard;8;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'manhattan'};0.6930694426034525;0.5940595222315307
6;standard;9;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'euclidean'};0.6968154511348063;0.5972703866869767
7;standard;10;5;{'n_clusters': 5, 'linkage': 'ward', 'metric': 'manhattan'};0.7223480936532859;0.6019567447110716
8;standard;11;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'euclidean'};0.666294488734499;0.5711095617724277
9;standard;12;8;{'n_clusters': 8, 'linkage': 'average', 'metric': 'cosine'};0.6834342614390144;0.6074971212791239
10;standard;13;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'cosine'};0.6622807604585668;0.5676692232502001
11;standard;14;10;{'n_clusters': 10, 'linkage': 'single', 'metric': 'cosine'};0.6665929435914669;0.6059935850831517
