;scaler;dim_reduction;dimension;n_clusters;best_params;centers;best_value;best_original_value
0;standard;umap;3;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'manhattan'};"[[13.113662   2.507591   7.7550316]
 [11.678215   1.9652036 12.0123415]
 [ 6.7679863  1.6859009 11.45329  ]
 [11.228403   5.1734586  6.544164 ]
 [10.547203   0.8309279  9.625344 ]]";0.5963090954482727;0.5963090954482727
1;standard;umap;4;4;{'n_clusters': 4, 'linkage': 'average', 'metric': 'euclidean'};"[[10.09794    -0.03515795 10.21212     6.4333854 ]
 [11.2233305   1.52302     6.6452985   8.645607  ]
 [ 6.3098855   0.33351353  9.30151     4.6243124 ]
 [ 9.069841    1.2241254   7.5545597  10.629752  ]]";0.6177114597973761;0.6177114597973761
2;standard;umap;5;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'manhattan'};"[[10.389285   -0.11846742 12.513337    9.507792    4.873522  ]
 [10.192925    1.8595566   8.506975   10.926684    5.9390454 ]
 [ 6.2521143  -0.31442267 11.993471    7.451113    5.005612  ]
 [ 8.415205    0.78104526  9.312892   12.961238    4.877867  ]
 [ 8.861722   -0.17968667 10.483278    8.840747    6.0514913 ]]";0.6109592130648962;0.6109592130648962
3;standard;umap;6;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'euclidean'};"[[10.718203   1.3702338  7.577254   8.961844   4.839625   3.464837 ]
 [ 8.94479   -0.755889   8.133518   7.498646   5.7362213  5.1092477]
 [ 6.0587397 -0.8799395  9.270462   6.156864   5.989457   5.246812 ]
 [ 8.476523   2.6563761  6.217681   9.995756   3.1582763  4.380925 ]
 [10.196563  -1.3288953  8.261117   8.760677   7.2982345  6.7246146]
 [ 8.858722   0.5623344  9.009582   7.901034   7.4160104  7.176197 ]]";0.5908566692192739;0.5908566692192739
4;standard;umap;7;7;{'n_clusters': 7, 'linkage': 'average', 'metric': 'manhattan'};"[[10.109374    1.5416231   8.299691    8.091099    6.1592016   2.7235997
   8.901081  ]
 [ 9.290517    0.284131   10.508343    9.109794    6.0135684   6.5227284
   6.5520487 ]
 [ 8.212237    0.07674074  9.1585455   7.7276616   5.352138    4.904593
   7.4595394 ]
 [ 5.5120645  -0.17550088 10.009035    7.2413945   4.273684    5.057344
   6.906457  ]
 [ 9.06259     1.4882988   5.6709003   8.147395    5.856529    3.6696787
   8.564337  ]
 [ 8.427779    1.5998615   9.689393    7.900708    4.9663606   5.6045985
   5.184285  ]
 [10.462423    1.0465584  10.057284    9.44595     6.639936    5.244575
   7.551317  ]]";0.5855747167201698;0.5855747167201698
5;standard;umap;8;5;{'n_clusters': 5, 'linkage': 'ward', 'metric': 'cosine'};"[[10.342981    0.8661554   9.465818    3.2848103   4.5237455   5.4717746
   7.6966343   6.243202  ]
 [10.218407    0.296294    8.628683    0.59118515  4.8791256   5.057547
   8.521781    2.16549   ]
 [ 5.939014    0.6200537   8.556091    2.06915     5.000104    6.9951825
   7.817531    1.2971197 ]
 [ 8.910675    0.58360803  8.658014    2.613297    5.3003597   6.3849072
   8.377032    3.125315  ]
 [ 8.646244    2.2637742   8.443122    0.8101311   4.2004952   4.440633
   8.802947    2.5475318 ]]";0.5732140673661211;0.5732140673661211
6;standard;umap;9;6;{'n_clusters': 6, 'linkage': 'average', 'metric': 'euclidean'};"[[10.62729     2.2239802   7.2463756   2.3342056   4.557405    5.7924933
   7.0136576   6.0269766   3.3291826 ]
 [10.539991    0.04662506  8.556552    1.7622961   2.7820477   6.29404
   8.4214735   4.3170185   0.14124493]
 [ 6.3496194  -0.58186144  9.518201    2.775085    4.676196    6.9000506
   8.106022    3.547692    2.515454  ]
 [ 8.902613    1.4883275   6.59993     1.7299955   3.7098515   4.537357
   6.5774856   4.896604    4.5816627 ]
 [ 9.2160225   0.21766295  8.750914    2.3293128   3.9510298   6.897202
   7.6885066   5.066189    2.0054536 ]
 [ 9.13822     0.78928363  8.492129    1.1182535   3.9089477   6.0519743
   9.086569    3.0507777   0.89107376]]";0.6016983389111586;0.6016983389111586
7;standard;umap;10;5;{'n_clusters': 5, 'linkage': 'average', 'metric': 'manhattan'};"[[ 9.91928    -0.2766561   8.148931    1.9157398   4.22851     5.9118533
   7.433389    1.6480709   2.0362735   4.069627  ]
 [ 5.963159    0.43409163  8.690776    2.497072    4.1704707   6.7744975
   6.976461    2.4818497   3.2036805   3.1002152 ]
 [10.489662    1.5239104   8.248856    1.9837545   5.281733    6.518776
   6.7057023   5.505404    3.4879115   5.7110577 ]
 [11.964872    3.1446378   8.558796   -0.51082534  3.0124798   7.914904
   9.20122     5.65127     5.248999    4.283468  ]
 [ 8.838682   -0.01651151  8.709097    3.179795    4.5058823   6.5610623
   7.1020436   3.5404704   3.045811    4.6504693 ]]";0.5739449303359352;0.5739449303359352
8;standard;umap;11;5;{'n_clusters': 5, 'linkage': 'ward', 'metric': 'euclidean'};"[[10.184611    1.334606    8.603866    1.8376861   4.161174    5.5984178
   9.525022    4.7983527   1.9646034   4.9670033   5.785579  ]
 [ 9.239027    0.4032149   7.5969076   0.90665644  6.4509974   6.584319
   9.373446    2.437211    4.132447    3.7783198   3.8774033 ]
 [ 5.3945427   0.17174228  8.26623     3.1672816   5.951641    5.7830787
   8.076977    2.4978447   3.5412483   4.2700987   4.6441226 ]
 [ 8.320178    0.13310821  8.183153    2.4300323   5.5407405   5.778465
   8.743175    3.5088856   2.8922486   4.591592    4.620593  ]
 [ 8.180703    1.8889835   7.6323366   1.244503    5.2338533   7.276328
   8.240938    2.5830383   3.9903522   3.293451    4.401201  ]]";0.5890463830687869;0.5890463830687869
9;standard;umap;12;4;{'n_clusters': 4, 'linkage': 'average', 'metric': 'cosine'};"[[ 9.004134    0.84070617  8.923148    0.3140386   4.8067527   7.3622355
   9.00274     2.9330537   3.2478385   6.3916407   5.087009    5.161689  ]
 [10.558135    1.6017891   8.613664    1.765358    6.6666274   6.542498
   8.837296    5.1500516   3.2800128   5.893625    7.3715286   3.537185  ]
 [ 5.6332245   0.38599893  7.623202    1.9431562   3.7564466   7.5824237
   7.7236905   3.379163    3.862179    6.021289    4.9772854   4.313987  ]
 [ 8.450015    0.6089056   7.509239    0.6474251   7.3523736   5.436636
   7.528087    6.0621805   4.0128765   6.0426064   9.236774    2.567829  ]]";0.5761226045192228;0.5761226045192228
