;scaler;dim_reduction;dimension;n_clusters;best_params;centers;best_value;best_original_value
0;standard;umap;3;8;{'n_clusters': 8, 'linkage': 'average', 'metric': 'manhattan'};"[[12.260808    0.4289958  11.713774  ]
 [13.096235   -3.753321    7.4252067 ]
 [13.340635   -1.4560003   8.246549  ]
 [11.460668   -2.3028383   7.36249   ]
 [10.656607   -1.8127002  10.529691  ]
 [10.342507    1.1789997   9.877684  ]
 [ 7.6733627  -1.6960788  11.763014  ]
 [12.698068   -0.05243355  5.394846  ]]";0.4979532063007355;0.4979532
1;standard;umap;4;8;{'n_clusters': 8, 'linkage': 'average', 'metric': 'manhattan'};"[[12.454061    2.194566    9.637041    6.285739  ]
 [ 8.85885    -0.6795568  11.886043    6.5754304 ]
 [12.197504    0.3703869   5.0816574   8.664198  ]
 [11.144147   -0.20739755  8.823865    6.9318376 ]
 [10.470404    3.0036929  10.409148    7.3789353 ]
 [11.866518    1.5671048   6.914144    9.2230835 ]
 [10.516132    0.59699833  5.8633714   8.029609  ]
 [10.004369   -0.16652983  6.482118    9.912275  ]]";0.4915756583213806;0.49157566
2;standard;umap;5;5;{'n_clusters': 5, 'linkage': 'complete', 'metric': 'euclidean'};"[[12.760513   1.1409948  6.6764045  7.8834944  7.567254 ]
 [11.667991  -1.871455   9.945199   9.565286   7.2694883]
 [ 8.129415  -1.7314776  8.329838   6.7942767  4.901922 ]
 [11.016256  -1.1271068  8.83839    7.4867053  6.4248657]
 [ 9.501994  -0.1361751 10.559042   9.22737    6.7660995]]";0.5117639303207397;0.51176393
3;standard;umap;6;5;{'n_clusters': 5, 'linkage': 'complete', 'metric': 'manhattan'};"[[10.45078    -1.573251    8.646783    7.3258467   4.1194086   6.8642483 ]
 [10.336742    1.134075    5.908201    7.703644    5.15873     3.8533592 ]
 [ 6.7292604  -0.8705695  10.919856    7.2670937   3.7133372   3.8662567 ]
 [ 9.12705     0.51436096  9.84555     6.6048713   4.1311865   7.044021  ]
 [ 9.570702   -1.0692278   8.529243    7.0192413   3.9903033   4.5068355 ]]";0.5152170062065125;0.515217
4;standard;umap;7;4;{'n_clusters': 4, 'linkage': 'single', 'metric': 'manhattan'};"[[10.284568   2.8909433 10.376375   9.52089    4.4561496  2.869415
   9.184193 ]
 [12.491799   1.1142265  8.301425   7.0157022  6.0188904  2.8611836
   8.553242 ]
 [ 6.9976954  1.0721555  9.127255   8.235224   3.7344773  2.0950599
   9.782753 ]
 [11.408613   0.608791   7.466046   6.149849   6.463234   3.141588
  11.042031 ]]";0.4736805558204651;0.47368056
5;standard;umap;8;5;{'n_clusters': 5, 'linkage': 'ward', 'metric': 'euclidean'};"[[10.515858    0.62070125  8.027603    1.8732578   4.999067    4.7818084
   8.9242      6.376045  ]
 [ 9.767816   -2.2064712   8.90988     0.362299    5.229637    6.8135867
   8.066323    3.9362984 ]
 [ 6.116357   -0.5700223   7.218864    2.534253    6.5853853   6.9945517
   8.172406    2.8407304 ]
 [ 8.964221   -1.091638    7.76563     2.2740002   6.2085967   5.828169
   8.286369    4.5911555 ]
 [ 8.589422   -0.47450995  9.382827    1.0978538   4.8637614   7.1177554
   7.727667    2.6514454 ]]";0.4956686198711395;0.49566862
6;standard;umap;9;4;{'n_clusters': 4, 'linkage': 'complete', 'metric': 'manhattan'};"[[10.267961   1.5853051  6.768836   1.5401766  3.3790553  7.157439
   7.8323526  5.287275   1.8432268]
 [ 9.508684   1.7277355  9.404095   1.8133229  4.7019     8.22465
   6.0788374  4.010392   2.8948426]
 [ 6.9879026  1.4086281 10.723566   3.2143657  5.4363465  8.111044
   6.9384804  4.2539163  3.872749 ]
 [10.154646   2.047415  10.152183   0.7225073  4.808403   9.770171
   5.1830354  4.061371   2.543876 ]]";0.5063700079917908;0.50637
7;standard;umap;10;4;{'n_clusters': 4, 'linkage': 'single', 'metric': 'euclidean'};"[[ 1.17814808e+01  6.11880541e-01  1.04514675e+01  2.77004719e+00
   3.23153877e+00  6.12668705e+00  7.83374596e+00  3.80341816e+00
   2.93151736e+00  6.27758884e+00]
 [ 1.16658249e+01  8.40217769e-01  7.43164968e+00  7.26783395e-01
   3.81484628e+00  6.51353598e+00  9.15033531e+00  5.43592644e+00
   3.69465637e+00  5.21786070e+00]
 [ 8.15433407e+00 -6.70384429e-03  1.08459902e+01  3.77445078e+00
   4.46466208e+00  7.58111477e+00  7.73187351e+00  4.58789396e+00
   2.51775026e+00  6.05543947e+00]
 [ 9.29846764e+00  1.19031191e-01  6.16272116e+00  2.86924809e-01
   2.52028656e+00  8.43742752e+00  8.13336849e+00  5.65860605e+00
   4.77547598e+00  4.59688044e+00]]";0.5118598341941833;0.51185983
8;standard;umap;11;5;{'n_clusters': 5, 'linkage': 'ward', 'metric': 'cosine'};"[[10.978643    0.42149195  7.133368    2.5368555   3.0043337   5.9384265
   8.679565    5.4761653   3.7455826   5.0585313   6.4531116 ]
 [10.612401    0.53943014  7.9136186   0.85783935  5.220916    8.0930605
   7.942678    3.49639     1.2545713   4.74774     7.632438  ]
 [ 6.9498167  -1.0048711   8.969245    2.7075741   5.7161098   7.2280507
   7.181147    3.6195836   1.2955424   5.742273    5.91994   ]
 [ 9.781654   -0.615715    7.9401283   2.0945835   4.595644    7.524027
   7.99708     4.1822333   1.8775485   5.327272    6.0304675 ]
 [ 8.673054    1.1278691   7.9076223   1.9903864   4.422007    7.5117826
   8.90843     3.578543    1.0423645   4.551671    7.880542  ]]";0.5153894424438477;0.51538944
9;standard;umap;12;4;{'n_clusters': 4, 'linkage': 'average', 'metric': 'euclidean'};"[[10.242654   -0.507151    7.719178    1.52512     3.0710425   6.890492
   9.015871    2.659015    3.8269207   5.9386573   6.4826307   4.814184  ]
 [11.552892    0.9493691   7.8486915   1.7739013   4.307229    6.8931313
   9.758328    6.149846    3.604214    5.5793476   5.726439    3.940841  ]
 [ 7.697319   -0.9872642   9.221733    2.3666217   4.384042    7.6515946
   7.4802914   3.3900068   1.9435836   4.771045    6.9185333   5.059971  ]
 [10.109582    0.4840461   8.027505    0.88331276  5.0195217   7.497427
   9.8548765   7.6202393   2.7244687   4.3349156   4.67425     3.8680508 ]]";0.48188886046409607;0.48188886
