;scaler;dim_reduction;dimension;n_clusters;best_params;centers;best_value;best_original_value
0;standard;umap;15;2;{'min_cluster_size': 123, 'min_samples': 74, 'cluster_selection_epsilon': 0.7599856890090656, 'alpha': 1.2662383708896001, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-2.8042011 10.376896   7.742801   0.7960953  2.1084101  4.013854
   9.353953   3.3976445  3.9258018  8.535201   5.3441358  7.5567026
   5.945837   4.985345   6.0808163]
 [11.696409   9.115484   7.515434   1.2392694  2.898178   4.6146235
   8.21515    2.5333505  3.6673923  7.5774155  5.3271585  8.964168
   4.2218866  4.602327   5.802344 ]]";0.7565291523933411;0.75652915
1;standard;umap;16;2;{'min_cluster_size': 98, 'min_samples': 28, 'cluster_selection_epsilon': 0.2515764607384831, 'alpha': 1.1605619332664856, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[ 0.11790494 10.607296    5.3831644   1.0640769   1.9876531   4.1128526
   8.216822    6.6436744   3.981338    8.238657    4.2288156   7.7594
   5.9388247   2.9221427   4.30468     5.126879  ]
 [13.942325    9.520866    7.2562456   1.9894898  -1.9925532   5.890058
   7.9082217   5.7767806   4.994277    7.680888    4.456656    9.140112
   6.0182633   4.1989226   3.6826386   5.1631384 ]]";0.755993127822876;0.7559931
2;standard;umap;17;2;{'min_cluster_size': 107, 'min_samples': 42, 'cluster_selection_epsilon': 0.04611639124157488, 'alpha': 1.717460969640974, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[-3.1411211   9.348744    7.8971825   0.64819044  1.8659979   3.3845189
   8.610697    2.5699751   4.7054086   7.9005556   6.2019143   6.887485
   6.494475    5.038275    6.411897    4.7451453   4.8641915 ]
 [13.966113    9.238636    7.81222     1.87088    -2.0245147   5.632088
   8.091286    4.3280864   5.034407    7.8595576   4.8731046   8.8798065
   5.2883024   5.0442667   5.6495852   3.8393111   6.114043  ]]";0.7578253149986267;0.7578253
3;standard;umap;18;2;{'min_cluster_size': 147, 'min_samples': 46, 'cluster_selection_epsilon': 0.020687488688856174, 'alpha': 1.4153827335142128, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[-2.8342721 10.267177   8.194387   0.8395745  1.6387987  3.473518
   9.531051   3.477199   4.309508   8.456127   4.9998236  7.1949306
   5.901996   4.613734   6.3726034  5.401049   5.218398   5.968689 ]
 [13.230688   8.913203   7.592142   1.8399261 -1.1115617  4.326451
   8.309937   3.8622603  4.9015074  7.7878914  5.1493216  8.71029
   5.958856   4.2682676  5.977233   5.286863   6.4412475  3.5318236]]";0.7571075558662415;0.75710756
4;standard;umap;19;2;{'min_cluster_size': 128, 'min_samples': 67, 'cluster_selection_epsilon': 0.09643570488185514, 'alpha': 1.2541210785216175, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-0.2754788  10.648781    6.0056906   0.74584824  1.7136588   3.9334366
   8.547819    3.0792108   4.139414    8.254503    4.7308106   7.8581533
   5.504385    2.926338    6.1094675   4.9804955   6.1229935   6.059963
   5.548537  ]
 [13.898939    9.244435    7.096644    1.7144561  -1.6321158   5.380307
   8.130435    3.549118    4.6525397   8.518182    5.2965083   9.225359
   5.7549405   3.8482063   6.258154    5.210883    6.223126    3.6044633
   4.8263636 ]]";0.762570321559906;0.7625703
5;standard;umap;20;2;{'min_cluster_size': 139, 'min_samples': 32, 'cluster_selection_epsilon': 0.08779105245903551, 'alpha': 1.1553134860960812, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[-2.1681411  9.804326   6.6792397  1.0665805  2.2104454  4.0341744
  10.26498    3.263339   4.2499523  8.6695175  4.736295   7.3525987
   6.0395555  4.1987906  6.312055   5.130478   5.99638    6.0483613
   5.73285    1.5019165]
 [11.592511   9.268034   6.7052174  1.5612438  2.978578   4.4773264
   8.374472   2.748967   3.6504068  8.168497   5.2506237  8.968598
   4.6741567  4.2642574  6.1031523  5.6517744  5.9295754  4.4902678
   5.6908545  2.0992248]]";0.7601192593574524;0.76011926
6;standard;umap;21;2;{'min_cluster_size': 150, 'min_samples': 43, 'cluster_selection_epsilon': 0.10021239083161701, 'alpha': 1.2440427537338774, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-3.1658568  9.283139   8.229257   0.3837965  1.9231484  3.645292
   8.724526   6.4691586  3.8260474  8.233128   5.6852307  7.3852744
   5.851936   4.78908    3.820388   4.8992934  4.661981   5.969585
   6.3359184  2.3060446  4.9407687]
 [13.854922   9.442125   7.39466    1.7066544 -0.8160958  4.8623724
   8.330831   6.571509   5.1238456  8.205684   4.9188256  9.362904
   6.0501204  3.935209   4.270085   4.5838695  6.253921   3.8649366
   5.0789113  2.2052577  4.263191 ]]";0.7606111764907837;0.7606112
7;standard;umap;22;2;{'min_cluster_size': 141, 'min_samples': 56, 'cluster_selection_epsilon': 0.1495948166783338, 'alpha': 1.5019498504101962, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-3.271441    9.928593    8.791305    0.73628217  1.8262813   3.768833
   9.567428    6.8160615   3.8380952   8.233886    5.226396    7.7356873
   6.0676193   4.373297    3.8921368   5.0294967   4.9743648   6.2450104
   5.4952493   1.4685562   4.5137367   4.3599815 ]
 [13.829539    9.557283    7.2778206   1.4173639  -1.0810881   5.44336
   8.068698    6.1498713   4.965832    8.089094    4.9286532   8.700861
   6.2649117   4.1871963   3.9564092   5.1164637   6.33608     3.6853044
   5.2488666   2.1463306   4.8731146   4.7862434 ]]";0.7575884461402893;0.75758845
8;standard;umap;23;2;{'min_cluster_size': 123, 'min_samples': 43, 'cluster_selection_epsilon': 0.33276498071368865, 'alpha': 0.6557255595854699, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-3.1412659 10.027089   7.899452   0.8092317  1.951062   3.9232335
   9.489127   3.0537724  4.0958242  8.375059   5.2832975  7.468078
   6.03231    4.5616984  6.17238    5.3465586  5.7148695  6.220071
   6.354924   1.3445362  4.7675414  4.227778   6.756301 ]
 [13.979301   9.157288   6.9235864  1.560562  -1.2283682  5.249898
   8.532416   4.054757   5.089663   8.064112   5.031051   9.49039
   6.311183   3.870511   5.9868813  4.4727983  6.0276423  3.5566766
   5.2187414  2.1472743  4.365253   5.022876   6.030105 ]]";0.7548778653144836;0.75487787
9;standard;umap;24;2;{'min_cluster_size': 141, 'min_samples': 39, 'cluster_selection_epsilon': 0.03886192119440088, 'alpha': 1.0054364296543978, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[13.89149    9.037472   6.6323237  1.4064271 -1.5865431  5.054188
   8.149267   3.8482866  5.5604606  8.393734   5.3934884  9.208941
   5.5789495  3.4155276  5.7497683  4.707929   6.20697    3.6283867
   4.928374   2.3084476  4.660205   4.17285    5.477892   6.538065 ]
 [-3.2753825  9.707811   8.23679    0.5932956  1.9273964  3.9396896
   8.617703   2.6412811  4.267409   8.012585   5.277587   8.025454
   5.7186418  4.370166   6.267035   4.7434864  5.5155993  5.726061
   4.2320614  2.183099   4.946745   4.096749   6.8430734  6.2058997]]";0.7588291168212891;0.7588291
10;minmax;umap;15;2;{'min_cluster_size': 91, 'min_samples': 60, 'cluster_selection_epsilon': 0.13387140701649916, 'alpha': 1.8111606465721581, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-1.8798008  9.655242  10.312375   7.6023617  6.346512   4.89388
   8.85156    4.0666666  2.9665363  8.301242   3.1755538  5.042345
   4.6453485  5.3213925  3.2083578]
 [14.046177   8.388569   8.189645   8.219592  10.397931   3.514685
   8.072868   4.6435814  2.9653225  7.9515805  2.6268635  4.465345
   5.751554   5.322553   3.7911844]]";0.7496997117996216;0.7496997
11;minmax;umap;16;2;{'min_cluster_size': 142, 'min_samples': 59, 'cluster_selection_epsilon': 0.011816153357255336, 'alpha': 1.3364286958425269, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[-2.3177783  9.445871   9.83743    7.624547   6.283632   4.0626454
   8.589544   6.0074925  2.5584967  8.262001   2.989965   5.4549994
   5.3218074  5.1869493  6.370845   4.396436 ]
 [11.28797    8.765926   9.62808    6.7928734  6.3261943  5.4345837
   8.016468   5.363853   2.9735239  8.269181   2.9713838  5.2306247
   4.166118   4.6279     5.928224   4.183993 ]]";0.7493909001350403;0.7493909
12;minmax;umap;17;2;{'min_cluster_size': 107, 'min_samples': 42, 'cluster_selection_epsilon': 0.7473478824337866, 'alpha': 1.869746362922108, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-0.3969381  0.4988246 10.009018   7.941714   6.1603737  3.7296638
   9.83789    5.749462   3.3304486  8.081338   2.138728   6.5701303
   5.066647   4.54708    5.478982   4.9792104  4.6747923]
 [13.9609995  8.605713   7.963535   7.7946362 10.80893    3.3727603
   8.115667   6.1737394  3.393615   7.473032   2.9687834  4.572854
   4.969655   4.538174   5.930941   4.2003136  4.9674573]]";0.7526274919509888;0.7526275
13;minmax;umap;18;2;{'min_cluster_size': 135, 'min_samples': 58, 'cluster_selection_epsilon': 0.14433535854723112, 'alpha': 0.7610251231487408, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-1.6787608 10.035649   9.703681   6.634012   6.1518674  4.2713766
   9.492081   4.322107   2.904607   7.7963343  3.1975882  4.6142874
   4.5909123  4.962812   6.2395053  4.8328547  5.1873145  4.0789766]
 [14.143256   8.205209   8.039223   7.181394  10.422974   3.7770417
   8.603062   4.270872   3.7489438  7.730494   3.8452373  5.7903934
   5.3504357  4.948493   4.940341   3.8611782  4.9686136  5.9964824]]";0.7551983594894409;0.75519836
14;minmax;umap;19;2;{'min_cluster_size': 147, 'min_samples': 29, 'cluster_selection_epsilon': 0.12891645802695528, 'alpha': 1.943252453806578, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-2.6346314 10.308636   9.433724   7.5672507  5.833733   4.078792
   9.674173   5.9185696  2.8525746  8.031703   2.914716   5.1495204
   5.3720226  5.0529685  6.644499   4.1529183  5.0071497  6.360702
   4.525545 ]
 [13.523472   8.562922   8.62984    7.6878915  9.739234   3.3953831
   8.235236   5.317061   3.9283261  8.370697   2.9041867  4.606088
   5.2946153  4.6360564  5.6143217  4.236811   5.317945   3.5792327
   5.117748 ]]";0.7545902729034424;0.7545903
