;scaler;dim_reduction;dimension;n_clusters;best_params;centers;best_value;best_original_value
0;standard;umap;3;22;{'min_cluster_size': 52, 'min_samples': 55, 'cluster_selection_epsilon': 0.024197527693314222, 'alpha': 1.7759055671754205, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};"[[ 0.3591025   0.6078053   5.943158  ]
 [-2.461585   10.653106   12.31828   ]
 [-0.02436674 13.6243305   4.516384  ]
 [ 0.7022434  11.520553    4.931912  ]
 [10.166088    8.6149      9.617436  ]
 [15.935782   10.725741    6.059337  ]
 [-1.1945353  10.611844    5.426149  ]
 [-4.081748   11.253737    9.365993  ]
 [-3.3113618  10.359179    7.671211  ]
 [-0.8747265  11.790739    9.190368  ]
 [ 9.235079    5.123304    5.4838266 ]
 [-1.2930357  10.85904     7.8750095 ]
 [-2.6195      9.718202    8.840186  ]
 [14.242915   10.494803    8.928535  ]
 [15.236508    8.857622    4.234246  ]
 [13.477986    8.4156475   4.335172  ]
 [14.590111    9.8455925   7.2836375 ]
 [12.106741    5.4851394   5.205627  ]
 [13.755767    5.5579305   4.906183  ]
 [14.321184    6.7179894   3.9021995 ]
 [13.072791    9.156232    7.3916254 ]
 [14.027134    7.1487966   6.513935  ]]";0.6455066800117493;0.6762451
1;standard;umap;4;17;{'min_cluster_size': 60, 'min_samples': 69, 'cluster_selection_epsilon': 0.017274585758182966, 'alpha': 1.0312281744922807, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};"[[ 0.7514017   1.4511689   7.3386054   8.829819  ]
 [-3.4171994   9.041224   10.311885   13.486514  ]
 [-3.2923145  10.179706   10.257388   10.4123335 ]
 [10.416479    9.722175    3.799148    5.79273   ]
 [-2.8212237  10.714452    8.741671    9.2500105 ]
 [-0.01621239 10.6749325   4.850118    9.882655  ]
 [-1.3036789  10.167274    6.2890344   8.690676  ]
 [-3.2593842  10.28635     8.017426   12.359054  ]
 [-3.1798737  10.18946     6.9835997  10.500466  ]
 [10.674648   10.758571    8.444368    9.009072  ]
 [14.051206    9.8788      5.631839   13.110122  ]
 [12.889053   10.46984     8.149208   11.910189  ]
 [13.712404    7.928243    4.4588904  11.575972  ]
 [12.741928    8.905301    3.4936447   7.1577363 ]
 [13.859041    7.7784204   4.004131    8.162197  ]
 [13.875689   10.319642    4.898983    9.628349  ]
 [13.041899   10.369022    6.219843   10.675103  ]]";0.6406970865586225;0.68074065
2;standard;umap;5;26;{'min_cluster_size': 54, 'min_samples': 38, 'cluster_selection_epsilon': 0.6497241248787554, 'alpha': 0.9858872342308487, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};"[[ 6.56192422e-01  2.36445531e-01  6.24237776e+00  1.17164159e+00
   2.38739824e+00]
 [-2.37525129e+00  1.11595736e+01  1.16167526e+01  3.27525759e+00
   1.96513951e+00]
 [ 1.05682106e+01  8.84591103e+00  6.36676025e+00  4.91098499e+00
   6.27079964e-01]
 [-3.78423452e-01  1.03805685e+01  3.77894735e+00  3.57863307e+00
   2.04497385e+00]
 [ 1.29068079e+01  9.78248310e+00  8.69524193e+00 -1.74280941e+00
   2.12606359e+00]
 [-6.71355665e-01  1.02284985e+01  4.95507956e+00  1.98533332e+00
   2.21597743e+00]
 [-1.46003783e+00  9.64837551e+00  5.91384983e+00  1.01340890e+00
   2.40593934e+00]
 [-2.34624267e+00  1.08194304e+01  8.48714256e+00  4.29965305e+00
   1.64055812e+00]
 [-3.33797503e+00  8.85333061e+00  8.27183437e+00  1.56458020e+00
   2.27629542e+00]
 [-2.48216319e+00  9.13005161e+00  6.55414486e+00  8.80900204e-01
   2.49054360e+00]
 [-3.52014351e+00  1.01365404e+01  9.55249882e+00  1.68347609e+00
   1.96375740e+00]
 [ 1.11612158e+01  9.68108082e+00  6.42214775e+00  1.95061147e+00
   3.88542747e+00]
 [-2.30827546e+00  9.93571949e+00  7.38443184e+00  3.08981204e+00
   1.83667064e+00]
 [-3.36320901e+00  9.61565208e+00  8.73800468e+00  3.10234284e+00
   1.99915230e+00]
 [-3.82617807e+00  9.73647308e+00  8.07455826e+00  2.88221264e+00
   2.83035398e+00]
 [ 1.19963675e+01  9.32524872e+00  7.93519115e+00 -4.92800679e-03
   3.24529195e+00]
 [ 1.29093418e+01  1.08419209e+01  7.76481915e+00 -2.18984485e+00
  -8.58963549e-01]
 [ 1.21350641e+01  9.56710148e+00  7.80019569e+00  8.56794566e-02
  -2.06891036e+00]
 [ 1.15720005e+01  9.20177555e+00  7.58121443e+00  7.26213634e-01
  -1.42181158e+00]
 [ 1.22141237e+01  1.06479282e+01  8.12034321e+00 -1.20310199e+00
   7.09093094e-01]
 [ 1.22108068e+01  9.37645626e+00  7.14138842e+00  4.22936153e+00
  -6.49569869e-01]
 [ 1.13462582e+01  9.98340702e+00  7.07230806e+00  3.91507912e+00
  -1.39853179e+00]
 [ 1.15118608e+01  1.08752460e+01  8.14055443e+00  2.17673797e-02
   6.21662199e-01]
 [ 1.27719593e+01  1.10109262e+01  8.59953308e+00  1.35043383e+00
  -2.11573064e-01]
 [ 1.21714363e+01  1.05519953e+01  7.85564756e+00  3.08731365e+00
  -1.81890190e+00]
 [ 1.13757868e+01  1.04045944e+01  7.42609549e+00  2.61962771e+00
  -3.38489747e+00]]";0.6259401257221515;0.65097773
3;standard;umap;6;22;{'min_cluster_size': 50, 'min_samples': 52, 'cluster_selection_epsilon': 0.4377528186636268, 'alpha': 0.8830163932113411, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};"[[ 0.4424934   1.4325995   6.8089213   0.6824301   3.7203784   7.480912  ]
 [-2.8245008  11.675688   10.706086    1.0308583   3.3910546   6.248478  ]
 [-0.34816608 11.718097    2.9910765   1.606949    2.161536    6.1456394 ]
 [-0.89512813 11.394453    4.846693    1.0962181   1.9039329   6.019681  ]
 [-1.3713933  10.092396    5.1186895   0.768917    1.4060411   5.9863534 ]
 [-4.0822287  10.263445    7.2222013  -0.20065495  1.1934024   6.4252043 ]
 [-4.166221   11.206554    8.623091    0.24137478  1.2794372   5.45434   ]
 [-2.9904914  12.958044    6.894925    0.8452771   2.3755248   6.475856  ]
 [-3.0161555  11.558951    6.096886    0.6798043   2.2371736   5.7982388 ]
 [-4.340506   11.49253     7.2691565   0.40643665  2.199625    6.03109   ]
 [10.646584    9.357356    7.5434875   1.8054547   1.3090774  10.317116  ]
 [12.036776    8.955846    7.8174696  -0.13708764 -1.4020399   3.3277035 ]
 [10.860079    9.505237    7.3065047   0.27218443  3.8914216   5.9487915 ]
 [11.966724    9.641989    7.0571747   0.9071452   1.1906506   2.1781876 ]
 [12.635031    9.013799    6.7009726   1.4779109  -2.057553    5.5578165 ]
 [11.967149    9.4383745   6.303465    1.5540371  -1.0652612   6.3367844 ]
 [11.080966   10.049149    8.076097    1.9468069  -0.38296872  9.031249  ]
 [11.356923    9.394212    7.914794    0.5513881   0.14806151  3.6763544 ]
 [12.00009     8.932683    8.260226    2.7580018  -1.4385082   7.8930254 ]
 [12.076833    8.417302    7.0425043   2.0173314  -2.356116    7.2535076 ]
 [11.156268    9.409416    7.7110896   1.1918644   0.7907729   4.8953924 ]
 [11.861271    9.203736    8.621888    1.87931    -0.57033837  5.885142  ]]";0.6426735764200038;0.6732771
4;standard;umap;7;22;{'min_cluster_size': 50, 'min_samples': 61, 'cluster_selection_epsilon': 0.04053880966683256, 'alpha': 1.9304722221734323, 'metric': 'euclidean', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};"[[ 0.42625207  1.0840228   6.0750246   0.9974779   3.123407    2.6868782
   8.778809  ]
 [-3.6985626  10.71303    10.23132     0.13822341  2.5339346   5.1190515
   6.1492085 ]
 [-1.1486584   9.976244    3.2330773   1.3829662   1.8332555   4.1369543
   7.4868217 ]
 [10.986465    9.792725    6.352659    0.8048323   3.6054986   3.8749044
   9.748405  ]
 [-0.6578785  10.384485    4.481152    0.80483985  1.9508424   3.6385474
   8.088242  ]
 [12.479325    9.13031     6.6816106   0.9396771  -2.398216    6.7356415
   8.004186  ]
 [10.654076    9.624825    6.978691    2.8904262   1.0888873  -0.24801293
   8.343618  ]
 [-2.9266512  11.046709    8.945403   -0.2187925   1.7841189   4.938365
   8.962392  ]
 [-1.5168512   9.807868    5.7022886   0.9054506   2.659999    3.9165092
  10.061975  ]
 [-3.5859852  10.789659    8.157613    1.1996703   2.3263254   3.8989952
   7.21423   ]
 [-4.0441966  10.865231    7.680879    0.5853097   3.2124817   5.028816
   8.841654  ]
 [-3.3558903  10.48392     8.016821    0.20538302  2.7961268   4.3311267
  10.3013    ]
 [11.914839    9.350279    7.1494694   1.2575518   1.0006388   7.03852
   8.411193  ]
 [11.805429    8.364148    6.9394827   1.8673753  -2.221979    4.5254493
   7.5635123 ]
 [11.247281    8.301055    6.941619    1.9566152  -1.3926942   3.9938626
   7.614579  ]
 [11.696054    9.89696     6.7387834   1.145683   -0.08372596  6.3002715
   8.494473  ]
 [11.253104   10.233854    6.99947     2.7380478  -0.7499169   1.0801913
   8.513516  ]
 [11.227446   10.312116    6.689457    1.9819669   2.3746412   5.1346903
   9.486098  ]
 [12.089435    9.453765    7.1928844   3.8448043  -1.3559656   2.381932
   7.816571  ]
 [11.903946    8.610072    6.2325196   3.1707883  -2.1561394   3.188767
   7.3989697 ]
 [12.07026    10.019923    7.2345133   2.9459672  -0.6227664   4.3585496
   8.268601  ]
 [11.380303    9.813159    6.8380194   1.6589762   0.66157925  5.1328783
   8.682954  ]]";0.6172980259765278;0.64669317
5;standard;umap;8;22;{'min_cluster_size': 52, 'min_samples': 47, 'cluster_selection_epsilon': 0.12536537486815108, 'alpha': 0.5352847946307906, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};"[[-0.31584507  1.9165866   6.791045    1.1554409   1.5580105   3.136902
   8.800926    7.724494  ]
 [-3.474047   10.936727   10.94197    -0.35536653  0.8705328   4.047895
   5.9665017   6.6464076 ]
 [-0.9408955  10.060316    3.9275706   0.8337039   2.697982    3.405274
   7.2739825   7.6520767 ]
 [11.06806     8.661511    7.044658    2.3897598   0.7831685  -0.5325048
   8.126469    7.220702  ]
 [-3.474158   10.872027    9.62441     0.18945952  1.7322361   3.553618
   8.795212    6.480528  ]
 [-1.905254   10.868276    6.886922    0.27941737  1.8247619   3.4330058
  10.332071    7.3129654 ]
 [ 0.09042724 10.269781    5.1366467   0.63467455  2.227627    3.3454933
   8.455047    6.8289804 ]
 [-3.2615583  11.27361     8.488943    0.12279033  1.6949427   2.92135
  10.084507    7.190273  ]
 [-3.4143972  12.380434    8.25195    -0.09318192  1.4869318   3.4766088
   8.726549    7.298305  ]
 [-3.004221   10.994358    7.7165174   0.05606072  2.0854514   2.1612737
   7.045603    7.2608557 ]
 [12.365707    8.698163    7.2709684   0.24570742 -1.0884771   7.148686
   8.15807     6.6674213 ]
 [10.771467    9.267927    6.8228955   0.8931464   3.80799     3.8452551
   8.5727625   8.166513  ]
 [12.599889    9.501132    6.833046    1.744677   -1.6760576   4.7323356
   8.096221    5.842929  ]
 [12.110791    9.687032    6.586632    1.760295   -0.8687102   4.122929
   8.094202    5.976569  ]
 [11.396694    9.342657    6.8343444   1.4785166   2.909839    5.3718452
   7.911848    7.1812253 ]
 [11.805549    8.985636    6.9447684   0.6115376   1.1528908   7.655588
   8.17016     6.9712496 ]
 [11.774049    8.598703    7.600103    2.9233835  -0.6481323   1.2863522
   8.170456    6.5520563 ]
 [11.544452    8.563381    7.2259383   0.82430965  0.40002158  6.4769483
   8.255179    7.021387  ]
 [12.261484    8.475872    7.9514985   3.1870885  -1.1874049   2.5267444
   8.142094    6.542756  ]
 [12.025055    8.73535     7.0707736   2.6667674  -2.1792462   3.1413896
   8.001464    5.2317915 ]
 [11.300768    8.530879    7.1410255   1.321317    1.1520245   5.1693764
   8.217163    7.2904973 ]
 [12.254425    8.308298    7.9403806   2.3625255  -0.3329327   4.442597
   8.161317    7.143046  ]]";0.6113747656345367;0.64048785
6;standard;umap;9;21;{'min_cluster_size': 50, 'min_samples': 56, 'cluster_selection_epsilon': 0.04299693381678005, 'alpha': 1.013230314318947, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};"[[-0.7202145   1.3324853   7.3763676   0.884847    2.0591779   3.6265032
   9.392323    7.7118864   6.698819  ]
 [-4.0168624   9.7190695  10.531796    0.908412    2.180657    3.916811
   5.989408    7.158541    5.363128  ]
 [-1.0424674  10.3692665   3.4300108   1.0611334   2.331294    4.1613984
   7.109776    7.14799     6.409856  ]
 [-0.11162277 10.721664    5.064392    0.78306115  1.710219    3.567759
   8.227646    7.274927    5.863176  ]
 [-2.5310326   9.77705     6.4391403   0.71255577  1.561819    3.793766
  10.072309    7.117893    5.6069    ]
 [-4.1370654  10.092043    9.346806    0.291857    1.3428707   3.4598813
   8.422831    7.371778    5.8455796 ]
 [11.89782     9.588415    7.252867    1.2730782   1.9959481   7.283031
   8.52711     6.867274    5.6968637 ]
 [-3.529019   10.167014    6.7759995   0.3641552   1.7091794   2.4300625
   7.0645976   8.207478    6.204068  ]
 [12.599505    9.483433    6.89796     0.6740264  -0.95004547  6.9370985
   8.186529    6.6356597   5.253773  ]
 [-4.77031     9.933654    7.7038655   0.49422053  1.6301389   2.967032
   8.135472    7.6557775   5.824517  ]
 [-4.123452    9.746388    7.8521576   0.2937962   1.4153636   3.1249304
   9.721703    7.494696    5.735258  ]
 [10.501257    9.080451    6.646515    2.4250953   1.0721787   0.28500912
   8.836599    6.7376566   7.6932197 ]
 [10.68179     8.789668    6.545504    1.0444757   3.9529068   4.0765553
   8.486931    7.9900365   7.226627  ]
 [10.809204    9.501507    7.164707    1.9730793  -0.5305918   3.512583
   8.956831    5.877741    5.1971283 ]
 [11.762737    9.107368    6.6905856   1.0744002   0.51143473  6.4027176
   8.116698    6.9677444   5.855359  ]
 [10.906887    9.039908    6.8638997   1.6659416   1.9686927   4.972118
   8.373235    7.3368626   6.8478866 ]
 [11.142681    9.266144    7.0254602   3.1833923  -0.4712553   1.7249123
   8.239561    6.296817    6.8331537 ]
 [11.2355995   9.175449    6.7681446   1.4827996   1.1820706   5.156028
   8.321351    7.088392    6.480805  ]
 [11.944565    9.227725    7.1013684   2.5956542  -0.3867769   4.458538
   7.8850737   6.6757855   6.512284  ]
 [11.4690695   9.444845    7.099342    2.7579818  -1.7553766   2.7310052
   8.223619    5.4978995   4.983427  ]
 [11.923808    9.304661    7.301339    3.4608083  -1.2179992   2.533778
   8.073075    6.0856075   6.357483  ]]";0.6050766082037062;0.63533044
7;standard;umap;10;22;{'min_cluster_size': 50, 'min_samples': 59, 'cluster_selection_epsilon': 0.014179842717507898, 'alpha': 1.9966431462002014, 'metric': 'euclidean', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};"[[ 3.13280642e-01 -8.73595569e-03  6.83794165e+00  4.24680799e-01
   1.75958049e+00  3.07102513e+00  8.49262714e+00  7.83069658e+00
   3.35793257e+00  7.91474438e+00]
 [-3.73710370e+00  9.60834503e+00  1.03910666e+01  3.60857882e-02
   1.93391979e+00  3.23240161e+00  6.69409895e+00  8.96370697e+00
   3.77117634e+00  8.89516926e+00]
 [-6.45851433e-01  1.03263149e+01  3.63693118e+00  9.41701353e-01
   2.23919725e+00  3.53258133e+00  7.21183252e+00  7.28530884e+00
   3.77824378e+00  8.41383076e+00]
 [ 1.28007441e+01  9.62556458e+00  7.19660902e+00  3.38538229e-01
  -7.47540355e-01  6.90400934e+00  8.19989586e+00  6.12708998e+00
   5.18700361e+00  9.54363441e+00]
 [ 3.17719132e-01  1.03689728e+01  5.42591095e+00  9.72754836e-01
   2.68706799e+00  3.77185321e+00  7.96762705e+00  6.98495054e+00
   4.00355816e+00  8.71692371e+00]
 [-1.29160810e+00  1.00999441e+01  5.89677715e+00  1.08486331e+00
   2.24280000e+00  4.13976002e+00  9.59187603e+00  6.97585487e+00
   4.26831770e+00  8.67653465e+00]
 [ 1.07602472e+01  8.98280239e+00  7.15642977e+00  1.09023190e+00
   3.92246246e+00  4.36666727e+00  8.24450207e+00  7.95095444e+00
   2.78363538e+00  8.36107922e+00]
 [-3.21579337e+00  1.11200409e+01  7.68953419e+00  8.75086367e-01
   2.12888384e+00  3.40448809e+00  9.79997063e+00  7.16154051e+00
   4.21968126e+00  8.81476307e+00]
 [-4.06434727e+00  1.12595320e+01  9.10743713e+00  7.72693574e-01
   2.16712999e+00  3.65565920e+00  8.65369701e+00  7.06729317e+00
   3.83885789e+00  8.67142963e+00]
 [ 1.11338015e+01  8.22290707e+00  7.01341438e+00  2.04615998e+00
   6.19700134e-01  1.34460121e-01  7.99445629e+00  7.24713373e+00
   2.69410133e+00  8.07307339e+00]
 [-3.22167325e+00  1.03762817e+01  8.00409794e+00  8.28570783e-01
   2.08504200e+00  2.42884302e+00  7.15128326e+00  7.83035326e+00
   4.04510355e+00  8.12964630e+00]
 [-2.84968424e+00  1.05291023e+01  6.70995855e+00  1.12193477e+00
   2.48277402e+00  3.46722913e+00  8.12568188e+00  7.74415684e+00
   3.85632896e+00  8.67081547e+00]
 [-3.92066765e+00  1.07157164e+01  7.70535707e+00  1.31751835e+00
   2.58407235e+00  3.28753710e+00  8.76814175e+00  8.27366543e+00
   3.76563859e+00  8.99517727e+00]
 [ 1.23279705e+01  9.52514267e+00  7.55771399e+00  5.51456571e-01
   1.34718072e+00  7.63498974e+00  8.44795036e+00  6.75708389e+00
   4.38162231e+00  8.99485397e+00]
 [ 1.24666977e+01  9.70496655e+00  7.11167049e+00  1.14623666e+00
  -1.26660693e+00  4.80567217e+00  8.13830566e+00  5.85955477e+00
   5.40355778e+00  7.94246149e+00]
 [ 1.19024782e+01  9.70905590e+00  6.80069542e+00  1.37538588e+00
  -8.37924600e-01  4.03004313e+00  8.16355610e+00  5.96378183e+00
   5.03414059e+00  7.62778997e+00]
 [ 1.21873569e+01  9.50814247e+00  7.21543741e+00  9.03008223e-01
   5.03844619e-01  6.46717024e+00  8.13529396e+00  6.40852213e+00
   4.43572617e+00  9.17417049e+00]
 [ 1.22912350e+01  9.14582920e+00  6.64634943e+00  2.24133182e+00
  -1.66176450e+00  3.21948242e+00  7.89387751e+00  5.26654673e+00
   4.84285593e+00  8.14258099e+00]
 [ 1.21493740e+01  8.25615215e+00  7.00404882e+00  2.08270812e+00
  -8.51713479e-01  1.49512172e+00  7.91662884e+00  6.80337477e+00
   3.01501226e+00  8.66918278e+00]
 [ 1.08973379e+01  8.99784565e+00  7.30068016e+00  2.27367973e+00
   2.59982300e+00  5.27678633e+00  7.97830200e+00  6.84462738e+00
   2.86530399e+00  8.72399426e+00]
 [ 1.16009235e+01  9.06927204e+00  7.00472784e+00  1.39811432e+00
   1.16927159e+00  5.30746603e+00  8.11941814e+00  6.71093369e+00
   3.64846778e+00  8.82404137e+00]
 [ 1.25211153e+01  8.95490837e+00  7.47708893e+00  2.28812695e+00
  -3.81258905e-01  4.50755358e+00  8.02681255e+00  6.14763212e+00
   3.83873367e+00  8.92005920e+00]]";0.6255967806686055;0.6553871
8;standard;umap;11;18;{'min_cluster_size': 53, 'min_samples': 67, 'cluster_selection_epsilon': 0.11951225846018565, 'alpha': 1.0987852714401813, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};"[[ 1.2648056   0.09578568  7.8383727   1.2332695   2.6794055   4.34318
   8.751616    2.7588468   3.8495438   7.514986    4.7829175 ]
 [-4.4238105  11.554712   10.078558    0.25722668  2.9214113   3.2061853
   7.7627      2.524738    4.028372    7.8641486   3.227714  ]
 [10.349341    9.267293    6.5702987   2.3878894   1.4770226   0.36965153
   8.0951185   3.1802268   3.2401304   7.0742054   4.8622584 ]
 [12.108245    8.94534     7.051956    0.83183503  1.2760342   7.2717843
   8.101361    3.297954    4.63157     8.476766    5.258144  ]
 [12.396568    9.422263    6.795082    0.41854748 -2.6427047   5.92888
   8.182965    3.5263019   6.0107827   8.383988    4.489327  ]
 [10.791321    8.803188    6.612798    1.2245337   3.4370239   4.134656
   8.31193     2.4026337   3.1704872   8.7690115   5.912137  ]
 [-0.31302017  9.974816    5.565947    1.3647993   1.1673318   3.4348404
   8.672312    2.4664311   3.6432467   8.160946    4.4759817 ]
 [-3.4466112  10.351258    7.604576    0.4747976   2.36073     4.219146
   8.639044    2.456387    3.7810898   7.950859    2.3484325 ]
 [-1.2781185   9.950113    6.2927356   0.80480146  2.067925    3.8652933
   9.754784    2.8053296   3.9701693   8.478643    5.789237  ]
 [-3.300263   10.289151    8.165282    0.60281414  1.9451823   4.1121683
  10.759177    2.478945    3.8855877   8.390295    4.8862133 ]
 [-3.9726977  11.2262335   7.951997    1.0187573   2.0422623   4.0395036
   9.640533    2.0259314   3.4123194   8.215085    4.415771  ]
 [-3.4914944  10.332296    9.06108     0.3842339   1.5214627   3.7050097
   9.342778    2.7908995   4.313412    8.804802    3.9672058 ]
 [10.432942    8.926044    7.001526    1.4983201   2.2021093   5.3885326
   8.159736    3.0563133   2.704965    8.354346    5.3624387 ]
 [11.287989    9.3110285   6.461707    1.3574966  -0.9011025   3.7535815
   7.938918    3.627028    5.330832    7.440038    4.5366178 ]
 [11.346506    9.2203245   7.0127187   2.4199429  -2.3264892   2.1701617
   7.4805775   4.8443623   4.901291    6.83767     4.6560783 ]
 [11.373534    9.143457    6.522453    2.6109638  -0.5362031   1.260829
   8.319709    3.291381    3.0186238   7.3184643   4.516508  ]
 [11.908715    8.99        7.4494023   2.2756202  -0.8108547   4.372871
   8.042761    3.6622975   3.4633687   7.724959    4.7159004 ]
 [11.345098    9.015332    6.9140525   1.3663238   0.5639641   5.2532854
   8.191957    3.2816796   3.6508465   8.277431    5.056467  ]]";0.6340264346864488;0.6713221
9;standard;umap;12;21;{'min_cluster_size': 52, 'min_samples': 59, 'cluster_selection_epsilon': 0.057021735041926355, 'alpha': 0.6826915030495159, 'metric': 'chebyshev', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': True};"[[-7.29767187e-03  1.24043334e+00  6.44290829e+00  9.07239377e-01
   1.35678113e+00  3.07231522e+00  8.98045540e+00  3.83498669e+00
   3.69720507e+00  8.50682926e+00  4.39357376e+00  7.95029640e+00]
 [-3.77912498e+00  9.70699596e+00  1.04217100e+01 -1.22124255e-01
   3.08500218e+00  4.80039454e+00  7.98724174e+00  2.69081092e+00
   2.74959874e+00  7.66052294e+00  2.87738061e+00  7.65461254e+00]
 [-1.14206421e+00  1.04927425e+01  3.73104334e+00  6.89978659e-01
   2.22533369e+00  4.53350830e+00  7.91857004e+00  2.39700317e+00
   4.27774429e+00  8.21433544e+00  4.14450979e+00  7.83741426e+00]
 [-1.23122060e+00  1.00033693e+01  5.59742355e+00  1.31032991e+00
   1.94611704e+00  3.93581510e+00  9.58161831e+00  3.07333207e+00
   4.07967806e+00  8.38552380e+00  5.20465040e+00  7.35450029e+00]
 [-1.05232164e-01  1.02933636e+01  5.18007374e+00  1.38201714e+00
   1.66801858e+00  4.18219233e+00  9.26064205e+00  3.00183368e+00
   3.33887577e+00  8.64643288e+00  4.49248219e+00  8.25514221e+00]
 [ 1.19626789e+01  9.19744587e+00  7.06215429e+00  8.97049367e-01
   1.07853270e+00  6.84376669e+00  8.45793056e+00  3.26495242e+00
   4.42730999e+00  8.60635948e+00  5.63617468e+00  8.34200382e+00]
 [-4.08501005e+00  1.10068903e+01  8.76266003e+00  8.60675335e-01
   2.32310438e+00  4.42726326e+00  9.74800014e+00  3.17603064e+00
   4.15164566e+00  8.46651459e+00  4.30166197e+00  7.53082228e+00]
 [-3.73721266e+00  1.06648321e+01  7.53511667e+00  1.41554916e+00
   2.00538492e+00  3.83546424e+00  1.07436409e+01  3.29438949e+00
   4.37077665e+00  8.47057533e+00  4.68821859e+00  7.00126076e+00]
 [ 1.25621405e+01  8.96315479e+00  6.91667843e+00  3.11343014e-01
  -1.49449778e+00  6.65704441e+00  8.86147022e+00  4.17883778e+00
   4.55915689e+00  9.13231277e+00  5.20181656e+00  8.43653202e+00]
 [-3.73460984e+00  9.97723103e+00  6.84352064e+00  1.28773808e+00
   2.06238699e+00  4.09147596e+00  8.84755993e+00  2.45758486e+00
   3.46893382e+00  8.17292500e+00  2.46588683e+00  8.08770752e+00]
 [-4.23491335e+00  1.07470465e+01  7.22635317e+00  1.59430528e+00
   2.79763269e+00  4.19580841e+00  9.87385559e+00  2.73912430e+00
   3.74926829e+00  8.19746876e+00  4.15313482e+00  6.56746817e+00]
 [ 1.11132240e+01  9.58772850e+00  6.96713114e+00  6.82614803e-01
   3.48239088e+00  4.64969826e+00  9.21633148e+00  1.67513466e+00
   3.26562309e+00  8.32946491e+00  4.35640621e+00  8.88409424e+00]
 [ 1.06381998e+01  9.59789371e+00  6.65541506e+00  2.23199940e+00
   8.13918769e-01  4.99843180e-01  8.03701878e+00  2.85783792e+00
   3.06758499e+00  7.70606089e+00  4.73790359e+00  7.59499788e+00]
 [ 1.07886591e+01  9.65151501e+00  7.26312828e+00  1.95831478e+00
   2.27231574e+00  4.97063637e+00  8.94842911e+00  2.42438436e+00
   3.00478101e+00  8.11208534e+00  4.55554056e+00  9.13105392e+00]
 [ 1.21648798e+01  8.89625740e+00  6.57461548e+00  1.33690560e+00
  -1.77398169e+00  4.21401072e+00  8.28942490e+00  4.81973600e+00
   5.09043789e+00  8.04036427e+00  5.30562925e+00  7.65377188e+00]
 [ 1.16382198e+01  9.05055904e+00  6.51276588e+00  1.40365040e+00
  -8.79399121e-01  3.69473648e+00  8.15259647e+00  4.39936733e+00
   5.00021744e+00  8.02456760e+00  5.41869926e+00  7.47290182e+00]
 [ 1.12887173e+01  9.27281857e+00  6.51704931e+00  2.50883508e+00
  -7.92726636e-01  1.12456846e+00  8.19205475e+00  3.95212770e+00
   3.58308196e+00  7.37398100e+00  4.81802416e+00  8.07224751e+00]
 [ 1.12698784e+01  9.36500931e+00  6.85774374e+00  1.17756236e+00
   6.07669413e-01  5.07348871e+00  8.62907791e+00  3.20888710e+00
   3.74561763e+00  8.48094654e+00  5.16660118e+00  8.64350605e+00]
 [ 1.19976673e+01  9.24750137e+00  6.97270250e+00  2.11613894e+00
  -6.99829340e-01  4.12792587e+00  8.72753239e+00  3.92234516e+00
   3.55107903e+00  7.81754303e+00  4.81506824e+00  8.86893463e+00]
 [ 1.18796387e+01  9.17053413e+00  6.61594391e+00  2.63472247e+00
  -1.45657349e+00  2.13151860e+00  8.41784954e+00  4.38485289e+00
   3.64875579e+00  7.27972269e+00  4.78738308e+00  8.49599361e+00]
 [ 1.14357538e+01  8.93067741e+00  5.96799850e+00  2.21111488e+00
  -2.09309506e+00  1.82496202e+00  8.08066082e+00  5.06953382e+00
   4.71749640e+00  7.26818085e+00  5.21410894e+00  8.48790455e+00]]";0.6588511239914666;0.6917937
