;experiment_id;best_experiment_index;dino_model;normalization;scaler;dim_red;reduction_parameters;clustering;penalty;penalty_range;classification_lvl;lvlm;prompt;eval_method;best_score;homogeneity_global;entropy_global;quality_metric;homogeneity_global_w_noise;entropy_global_w_noise;quality_metric_w_noise
0;1;355;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;1;silhouette;0.7258110642433167;0.8657333757556475;0.5022758267746172;1.7236179923230286;0.8572838531385709;0.7281786389069957;1.177297204334581
1;1;355;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;2;silhouette;0.7258110642433167;0.9070951320394528;0.3385014053754047;2.6797302401247918;0.9018949861823924;0.47993241416874904;1.8792085725985268
2;1;355;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;1;silhouette;0.7258110642433167;0.803054406617881;0.6577077945395449;1.2209877886460239;0.7216739044611133;1.1731520826333703;0.6151574889452414
3;1;355;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;2;silhouette;0.7258110642433167;0.8631880369074133;0.5006569644099159;1.7241072713679517;0.7465455981050139;1.1209840621470128;0.6659728334605652
4;1;355;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;1;silhouette;0.7258110642433167;0.8294622971683105;0.6416957569967673;1.2926078994855963;0.6292933280694828;1.487936042381105;0.4229300771102801
5;1;355;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;2;silhouette;0.7258110642433167;0.8262806236080178;0.6368761761662214;1.297393994524877;0.6450848795894196;1.434692662271542;0.4496324870969742
6;2;0;small;True;;;;hdbscan;;;3;llava1-5_7b;1;silhouette;0.4195640981197357;0.8714285714285714;0.4736591226654653;1.839776096253812;0.8314251875246743;1.159586444247638;0.7170008537511533
7;2;0;small;True;;;;hdbscan;;;3;llava1-5_7b;2;silhouette;0.4195640981197357;0.8285714285714286;0.5746065259355394;1.4419780305216179;0.87998420844848;0.7905562455054114;1.1131188961349625
8;2;0;small;True;;;;hdbscan;;;3;llava1-6_7b;1;silhouette;0.4195640981197357;0.9285714285714286;0.24831290193325292;3.739506412415966;0.5272404263718911;2.1155517028167083;0.24922112584097186
9;2;0;small;True;;;;hdbscan;;;3;llava1-6_7b;2;silhouette;0.4195640981197357;0.9285714285714286;0.22038005721243362;4.2134811417859;0.5256612712198973;2.100780655879896;0.2502217542449589
10;2;0;small;True;;;;hdbscan;;;3;llava1-6_13b;1;silhouette;0.4195640981197357;0.8857142857142857;0.3685657049707153;2.4031315736581815;0.36063955783655743;2.603144864456638;0.13853989619280696
11;2;0;small;True;;;;hdbscan;;;3;llava1-6_13b;2;silhouette;0.4195640981197357;0.9107142857142857;0.2881748961394558;3.1602722431496058;0.3651796288985393;2.509266755675464;0.14553234826079267
12;3;25;small;False;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 20, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;1;silhouette;0.7266784310340881;0.8678474114441417;0.48777400493008083;1.7791961512430134;0.853730754046585;0.7710132349765825;1.1072827391734406
13;3;25;small;False;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 20, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;2;silhouette;0.7266784310340881;0.8954359673024523;0.3649188754723135;2.4537878791707226;0.8985392814844059;0.49185964103989854;1.8268167983205605
14;3;25;small;False;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 20, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;1;silhouette;0.7266784310340881;0.8150544959128065;0.6270353089146228;1.2998521526187796;0.6966048164232136;1.2595544150628293;0.5530561086019907
15;3;25;small;False;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 20, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;2;silhouette;0.7266784310340881;0.8583106267029973;0.5021084327564802;1.7094094846835357;0.7139755230951441;1.200908313284298;0.5945290915785585
16;3;25;small;False;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 20, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;1;silhouette;0.7266784310340881;0.8225476839237057;0.6684536923230038;1.2305212206158658;0.6034346624555863;1.581196044598004;0.381631539546041
17;3;25;small;False;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 20, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;2;silhouette;0.7266784310340881;0.8194822888283378;0.665522688030732;1.2313345168121146;0.6091590998815634;1.5226743580337;0.40005842129618374
18;4;3;small;False;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 20, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;1;silhouette;0.7337381839752197;0.8489979267449896;0.5497533578002854;1.5443223226861864;0.8582708251085669;0.7216820790985815;1.1892627802505642
19;4;3;small;False;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 20, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;2;silhouette;0.7337381839752197;0.8901174844505875;0.388300801952473;2.292334158571675;0.9013028030003948;0.4794647539588547;1.8798064211229153
20;4;3;small;False;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 20, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;1;silhouette;0.7337381839752197;0.8217000691085004;0.6065771699666163;1.35464827089594;0.700750098697197;1.2585409455941057;0.5567951875981391
21;4;3;small;False;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 20, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;2;silhouette;0.7337381839752197;0.874913614374568;0.4649248421327748;1.881834768231076;0.7210817212791156;1.200309484249328;0.6007459992570829
22;4;3;small;False;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 20, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;1;silhouette;0.7337381839752197;0.8313752591568763;0.6286197804020022;1.3225386195874926;0.6014607185155941;1.579804709371013;0.38071815726951697
23;4;3;small;False;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 20, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;2;silhouette;0.7337381839752197;0.831720801658604;0.6436228923789816;1.2922466233880363;0.6121200157915515;1.5224705516612635;0.40205678399943123
24;5;0;small;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;1;silhouette;0.7222709059715271;0.8626049114081442;0.519157426763931;1.661544659469398;0.8564942755625741;0.7236431053907297;1.1835849545131196
25;5;0;small;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;2;silhouette;0.7222709059715271;0.8940006216972335;0.3754556657477723;2.381102010578801;0.8979470983024083;0.4766692716149683;1.8837908545463635
26;5;0;small;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;1;silhouette;0.7222709059715271;0.8029219769972024;0.6866410045270348;1.169345847914245;0.7120015791551519;1.1982564632580603;0.5941974917637656
27;5;0;small;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;2;silhouette;0.7222709059715271;0.8498601181224743;0.5735954695332237;1.481634150945988;0.7337149624950652;1.1286406649489644;0.6500867239632189
28;5;0;small;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;1;silhouette;0.7222709059715271;0.8066521603978862;0.7582999858533784;1.0637625104629058;0.6217923410975128;1.4970766981288632;0.41533738821616667
29;5;0;small;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;2;silhouette;0.7222709059715271;0.8094497979483991;0.7474057605034953;1.0830110733854055;0.636991709435452;1.4467172655605773;0.440301145426286
30;6;48;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;1;silhouette;0.725958526134491;0.8691709844559585;0.4857153751724711;1.7894619759264407;0.8572838531385709;0.7399355409435242;1.1585910489640263
31;6;48;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;2;silhouette;0.725958526134491;0.9073834196891192;0.33214374970058563;2.731891503650402;0.9018949861823924;0.48533684966826873;1.8582828163903617
32;6;48;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;1;silhouette;0.725958526134491;0.8060233160621761;0.6446318896172303;1.2503602112836287;0.7187129885511252;1.1843184108398042;0.606857391657107
33;6;48;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;2;silhouette;0.725958526134491;0.8639896373056994;0.49514426370556147;1.7449215424980247;0.7416107382550335;1.134991250514872;0.6534059927885967
34;6;48;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;1;silhouette;0.725958526134491;0.8286917098445595;0.6450034764258852;1.2847844319415063;0.6225819186735096;1.5045445809090783;0.4138006362674187
35;6;48;small;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;2;silhouette;0.725958526134491;0.8238341968911918;0.6437492930077037;1.2797418592884944;0.6383734701934465;1.451781386108208;0.43971705146852885
36;7;0;small;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};agglomerative;;;3;llava1-5_7b;1;silhouette;0.542186975479126;0.8598499802605606;0.5200712735413691;1.6533278623094372;0.8598499802605606;0.5200712735413691;1.6533278623094372
37;7;0;small;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};agglomerative;;;3;llava1-5_7b;2;silhouette;0.542186975479126;0.9007106198183972;0.36361970612434075;2.477060862178728;0.9007106198183972;0.36361970612434075;2.477060862178728
38;7;0;small;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};agglomerative;;;3;llava1-6_7b;1;silhouette;0.542186975479126;0.7998420844848007;0.6956355959754219;1.1497987442182533;0.7998420844848007;0.6956355959754219;1.1497987442182533
39;7;0;small;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};agglomerative;;;3;llava1-6_7b;2;silhouette;0.542186975479126;0.8409001184366364;0.5690687171979243;1.4776750423079859;0.8409001184366364;0.5690687171979243;1.4776750423079859
40;7;0;small;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};agglomerative;;;3;llava1-6_13b;1;silhouette;0.542186975479126;0.773983418870904;0.846435586298742;0.9144021317123615;0.773983418870904;0.846435586298742;0.9144021317123615
41;7;0;small;True;;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};agglomerative;;;3;llava1-6_13b;2;silhouette;0.542186975479126;0.7874062376628503;0.8073854646848836;0.9752532053781315;0.7874062376628503;0.8073854646848836;0.9752532053781315
42;8;3;small;False;robust;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;1;silhouette;0.7247827649116516;0.8661903215329653;0.49402679420967816;1.7533230552719303;0.8570864587445717;0.7398531338303986;1.1584532944449926
43;8;3;small;False;robust;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;2;silhouette;0.7247827649116516;0.9028905488795064;0.3446139785013166;2.619997983854486;0.9001184366363996;0.4929936971190799;1.825817685051045
44;8;3;small;False;robust;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;1;silhouette;0.7247827649116516;0.8145501786294251;0.6271898571834433;1.2987277625304767;0.7159494670351362;1.2013183879343154;0.5959692936165967
45;8;3;small;False;robust;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;2;silhouette;0.7247827649116516;0.8665151023059435;0.48575573961520946;1.7838457640183243;0.734504540071062;1.1583074519834087;0.6341182599620563
46;8;3;small;False;robust;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;1;silhouette;0.7247827649116516;0.8311139980513154;0.6174870364479093;1.3459596769393076;0.613501776549546;1.5076054229240197;0.4069376245821853
47;8;3;small;False;robust;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;2;silhouette;0.7247827649116516;0.8298148749594024;0.6247912343769099;1.3281453086352084;0.6324516383734702;1.4552987906298192;0.4345851229043056
48;9;0;small;True;robust;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 9, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;1;silhouette;0.7254218459129333;0.8621691413815364;0.5071359886648882;1.7000715007030387;0.861231741018555;0.703904216772962;1.223505268176379
