;id;clustering;eval_method;optimization;optuna_trials;normalization;scaler;dim_red;reduction_params;dimensions;embeddings;n_clusters;best_params;centers;labels;label_counter;noise_not_noise;score_noise_ratio;penalty;penalty_range;score_w_penalty;score_w/o_penalty
0;23;hdbscan;davies_noise;optuna;200;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.1};2;"              0         1
0     14.880876  8.821214
1     14.859204  8.801278
2     14.859451  8.801491
3     14.856806  8.799491
4     14.856071  8.798804
...         ...       ...
5061 -12.375973  8.757112
5062  -5.119083  1.541492
5063  -5.182069  1.501609
5064   2.857217 -1.564214
5065  -5.166382  1.522605

[5066 rows x 2 columns]";19;{'min_cluster_size': 8, 'min_samples': 3, 'cluster_selection_epsilon': 1.9358728011132995, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[ -6.1272836  17.992247 ]
 [ 14.85571     8.79852  ]
 [ 13.018222    1.2803501]
 [  8.791199   -9.337116 ]
 [  7.712317   20.654224 ]
 [-10.228966   -2.1826515]
 [  8.583013   17.227634 ]
 [ -1.1453218  19.63517  ]
 [ -2.2881014  -7.5739665]
 [ 13.102585   -2.7263706]
 [ 11.100935   -5.3357363]
 [-12.996608    5.2624907]
 [  5.3884044  -3.2742515]
 [  8.509492   -5.5440874]
 [-12.432926   10.906632 ]
 [ -5.352404   10.702982 ]
 [  6.0217276  13.597758 ]
 [  3.7814863  18.366816 ]
 [  3.443381   10.555396 ]]";[ 1  1  1 ... 18 18 18];Counter({18: 3560, 2: 361, 13: 301, 15: 236, 11: 94, 5: 86, 14: 82, 16: 66, 8: 62, 3: 49, 6: 32, 0: 26, 10: 24, 17: 22, 1: 17, 7: 17, 4: 12, 12: 11, 9: 8});{-1: 0, 1: 5066};1.6821860520848777;;;1.6821860520848777;1.6821860520848777
1;23;hdbscan;davies_noise;optuna;200;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.3};2;"             0          1
0    -9.068157  -7.136773
1    -9.124432  -7.179578
2    -9.125602  -7.177167
3    -9.153144  -7.200159
4    -9.125195  -7.184155
...        ...        ...
5061 -8.408583  13.881747
5062  0.348509  -5.727866
5063  0.433738  -5.953816
5064 -0.839167  -7.481956
5065  0.403153  -5.902931

[5066 rows x 2 columns]";37;{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_epsilon': 0.971424898400362, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[-18.51471      6.7936025 ]
 [  6.1735954  -12.310974  ]
 [-16.111748     8.447985  ]
 [-16.53071     10.594307  ]
 [  6.884681    -7.591349  ]
 [ 17.449045     5.2632217 ]
 [ 14.943892     6.4847302 ]
 [-10.621648     4.05694   ]
 [ -9.377332     3.754396  ]
 [ 10.081322    -3.1483803 ]
 [ -9.126068    -7.1825    ]
 [ -6.583059    -8.313257  ]
 [ -4.337614    18.646658  ]
 [  3.5082276   -9.252546  ]
 [-10.494054     8.046295  ]
 [ -4.5791574   14.807827  ]
 [-10.430162    10.731679  ]
 [  9.627019     1.3246388 ]
 [  2.6400628   -5.0035753 ]
 [  6.1993       0.4502869 ]
 [  6.198228    -2.6954803 ]
 [ -8.740543    14.889575  ]
 [ -2.1968584   -9.207886  ]
 [ -0.14016545  -8.184182  ]
 [  7.1797585    4.4943433 ]
 [ -5.2735467    6.4738035 ]
 [  8.699661     3.4031274 ]
 [ 11.374931     4.411486  ]
 [ -4.406322    -5.364534  ]
 [ 10.267532     8.712061  ]
 [ -2.7836697    9.938216  ]
 [ -0.39772817  13.589702  ]
 [ -5.5544357    4.6831813 ]
 [ -0.5999743    8.98698   ]
 [ -6.2474627    7.3674974 ]
 [ -2.55899     14.365062  ]
 [ -2.3394332   11.53751   ]]";[10 10 10 ... 23 23 23];Counter({33: 2402, 36: 1086, 29: 190, 27: 157, 28: 147, 23: 141, 24: 104, 20: 88, 19: 72, 21: 71, 4: 71, 18: 66, 32: 58, 31: 49, 34: 43, 35: 33, 12: 32, 16: 28, 6: 26, 9: 24, 30: 22, 15: 21, 14: 19, 8: 14, 10: 12, 0: 12, 13: 11, 22: 10, 1: 10, 2: 8, 26: 7, 3: 7, 25: 6, 5: 5, 7: 5, 11: 5, 17: 4});{-1: 0, 1: 5066};1.360254692135966;;;1.360254692135966;1.360254692135966
2;23;hdbscan;davies_noise;optuna;200;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.5};2;"             0          1
0    -1.761961 -11.513079
1    -1.861721 -11.423830
2    -1.867009 -11.412048
3    -1.768894 -11.447238
4    -1.772284 -11.429351
...        ...        ...
5061 -4.978697  15.860082
5062  8.867845  -3.603756
5063  9.179338  -3.932473
5064  8.223334  -5.578703
5065  9.188294  -3.875764

[5066 rows x 2 columns]";26;{'min_cluster_size': 4, 'min_samples': 3, 'cluster_selection_epsilon': 0.8365397353531204, 'metric': 'euclidean', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};"[[ 14.3931265    5.6867657 ]
 [-14.315616    11.277648  ]
 [ -1.7688941  -11.447238  ]
 [ -5.0843315   20.90321   ]
 [ 15.089611    -2.122212  ]
 [  1.2841862  -12.805302  ]
 [  4.869239    17.68822   ]
 [  2.5072672   18.579355  ]
 [ -8.052196    -4.3258595 ]
 [ -8.871726    15.959559  ]
 [ -2.333051    -6.84971   ]
 [  9.446367    11.509101  ]
 [  4.025776   -12.104076  ]
 [ -8.782595     3.884218  ]
 [-10.7570095   14.554937  ]
 [-10.514211     6.3573775 ]
 [ 11.668146    -1.1923571 ]
 [  8.362656     5.5869594 ]
 [ -9.666208     1.8265673 ]
 [ -8.281887     0.9599101 ]
 [ 11.145264     1.6696527 ]
 [ -6.9919057    2.1832166 ]
 [  3.9669836   -9.029002  ]
 [  1.6894058    9.497348  ]
 [ -6.9608555    0.26544297]
 [ -1.4472506   13.50556   ]]";[ 2  2  2 ... 25 25 25];Counter({25: 3839, 23: 471, 19: 205, 22: 136, 11: 49, 17: 46, 18: 33, 7: 30, 16: 30, 20: 26, 15: 22, 6: 22, 14: 21, 8: 19, 1: 17, 12: 15, 2: 12, 3: 12, 21: 11, 13: 11, 4: 8, 10: 8, 5: 7, 9: 6, 0: 5, 24: 5});{-1: 0, 1: 5066};1.630041754898809;;;1.630041754898809;1.630041754898809
3;23;hdbscan;davies_noise;optuna;200;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.7};2;"              0          1
0    -10.414394  -7.117560
1    -10.250607  -7.257505
2    -10.226677  -7.313499
3    -10.422054  -7.239340
4    -10.466543  -7.232720
...         ...        ...
5061   1.138381  16.876566
5062  -6.368410  -3.030806
5063  -6.775111  -3.063444
5064  11.635683  -2.714497
5065  -6.894784  -2.999242

[5066 rows x 2 columns]";17;{'min_cluster_size': 6, 'min_samples': 2, 'cluster_selection_epsilon': 0.8952521017389937, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[ 15.938201    2.2360291]
 [-10.466543   -7.23272  ]
 [-12.117088   18.015102 ]
 [ 11.2675085  10.268865 ]
 [ 14.286489    9.791454 ]
 [-13.936989    2.763705 ]
 [ -9.387871    1.4873667]
 [ -9.379379   16.315739 ]
 [ -3.7743301  -9.264303 ]
 [ 11.895385   -7.8349924]
 [ -6.111895   -8.190457 ]
 [ -6.1230335  15.988572 ]
 [ -8.686455    4.021571 ]
 [ -1.5142384  -8.0626335]
 [ 14.647101   -2.1488607]
 [ -2.1420002  -4.39269  ]
 [ -1.7496334  13.584871 ]]";[ 1  1  1 ... 16 16 16];Counter({16: 4632, 13: 103, 5: 88, 7: 49, 8: 26, 15: 25, 10: 24, 9: 18, 4: 17, 12: 15, 0: 15, 1: 12, 14: 11, 11: 10, 3: 8, 2: 7, 6: 6});{-1: 0, 1: 5066};1.5643475501186515;;;1.5643475501186515;1.5643475501186515
4;23;hdbscan;davies_noise;optuna;200;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 10, 'min_dist': 0.1};2;"              0         1
0     14.813119  8.819939
1     14.826433  8.848876
2     14.811818  8.824089
3     14.779457  8.783446
4     14.780450  8.766633
...         ...       ...
5061  -2.808437  8.110431
5062   6.722323  5.556125
5063   6.672952  5.542910
5064  16.463150  6.527115
5065   6.715874  5.574214

[5066 rows x 2 columns]";16;{'min_cluster_size': 4, 'min_samples': 3, 'cluster_selection_epsilon': 1.0903520990309274, 'metric': 'manhattan', 'cluster_selection_method': 'leaf', 'gen_min_span_tree': False};"[[ 5.622466  -3.8182306]
 [ 9.347405  18.181452 ]
 [-6.775347  14.676127 ]
 [ 7.365938  13.668637 ]
 [ 6.914633  15.174685 ]
 [ 4.6188197  9.696173 ]
 [10.633036   1.4011662]
 [-1.3563613  3.0712078]
 [ 7.072022   8.978167 ]
 [12.035144  11.884489 ]
 [-5.6372523  5.558929 ]
 [-6.206015   7.580791 ]
 [-3.5019016  6.585462 ]
 [ 1.4764929 11.656869 ]
 [-2.3741455  7.7445045]
 [-4.7730265  8.829855 ]]";[9 9 9 ... 9 9 9];Counter({9: 3033, 15: 1100, 7: 171, 10: 138, 11: 130, 2: 115, 14: 80, 0: 69, 12: 59, 13: 53, 3: 34, 4: 24, 6: 17, 5: 17, 8: 16, 1: 10});{-1: 0, 1: 5066};1.6814158048297432;;;1.6814158048297432;1.6814158048297432
5;23;hdbscan;davies_noise;optuna;200;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 10, 'min_dist': 0.3};2;"              0          1
0     15.641353   8.285763
1     15.666531   8.327900
2     15.630200   8.272262
3     15.505439   8.143188
4     15.552882   8.097648
...         ...        ...
5061  -0.787898   6.374101
5062   5.846332   7.262346
5063   5.730234   7.379531
5064   6.212072  10.474085
5065   5.880274   7.484411

[5066 rows x 2 columns]";15;{'min_cluster_size': 7, 'min_samples': 4, 'cluster_selection_epsilon': 0.630642059584756, 'metric': 'chebyshev', 'cluster_selection_method': 'eom', 'gen_min_span_tree': False};"[[14.343794    2.3519454 ]
 [ 1.5511441  -1.0393687 ]
 [11.842435   17.956837  ]
 [-6.117899    7.466194  ]
 [ 8.371905    0.5349929 ]
 [-2.9534638  16.272606  ]
 [ 6.114667    3.9162147 ]
 [ 4.3613906   4.2131267 ]
 [17.087969   15.287314  ]
 [ 0.05083839  4.917784  ]
 [-0.47684768  4.1273794 ]
 [-3.3265047   8.356183  ]
 [-1.9280729   7.331556  ]
 [ 9.057322   14.890961  ]
 [10.73272    12.099238  ]]";[14 14 14 ... 14 14 14];Counter({14: 2994, 12: 1360, 11: 213, 3: 138, 5: 116, 1: 69, 4: 34, 7: 33, 8: 26, 0: 24, 2: 17, 10: 12, 13: 12, 6: 10, 9: 8});{-1: 0, 1: 5066};1.1933745315578395;;;1.1933745315578395;1.1933745315578395
6;23;hdbscan;davies_noise;optuna;200;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 10, 'min_dist': 0.5};2;"              0         1
0     15.179793  7.683846
1     15.222662  7.785065
2     15.226871  7.691745
3     14.920497  7.625864
4     14.996214  7.516295
...         ...       ...
5061  -5.141793  7.382312
5062   4.279737  5.962238
5063   4.115177  6.201819
5064   3.894167  7.892567
5065   4.259413  6.414342

[5066 rows x 2 columns]";4;{'min_cluster_size': 2, 'min_samples': 2, 'cluster_selection_epsilon': 1.6117439030278549, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[ 3.2880347 -6.2425046]
 [ 4.9917293 15.559415 ]
 [ 6.2750545 13.051613 ]
 [ 7.0238547 17.572107 ]]";[3 3 3 ... 3 3 3];Counter({3: 4970, 0: 69, 1: 17, 2: 10});{-1: 0, 1: 5066};0.7063237987555939;;;0.7063237987555939;0.7063237987555939
7;23;hdbscan;davies_noise;optuna;200;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 10, 'min_dist': 0.7};2;"              0         1
0     15.508993  6.896338
1     15.535118  7.115222
2     15.596885  6.951210
3     15.185781  6.853863
4     15.357038  6.712817
...         ...       ...
5061  -1.910837  9.547832
5062   5.834106  3.282129
5063   5.374987  3.220799
5064   3.408772  3.766896
5065   5.219996  3.738322

[5066 rows x 2 columns]";3;{'min_cluster_size': 4, 'min_samples': 2, 'cluster_selection_epsilon': 2.4872897197267196, 'metric': 'manhattan', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[ 6.013018  -2.9567814]
 [ 5.7043138 14.749997 ]
 [ 7.496192   9.263126 ]]";[2 2 2 ... 2 2 2];Counter({2: 4987, 0: 69, 1: 10});{-1: 0, 1: 5066};0.8031389667663773;;;0.8031389667663773;0.8031389667663773
8;23;hdbscan;davies_noise;optuna;200;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1};2;"              0         1
0      0.018199 -1.490547
1      0.039422 -1.530311
2      0.021279 -1.536342
3      0.046320 -1.423859
4      0.064504 -1.420248
...         ...       ...
5061  14.661350  1.545441
5062   1.631816  6.069610
5063   1.671377  6.073396
5064   2.841532  5.600644
5065   1.671176  6.032069

[5066 rows x 2 columns]";12;{'min_cluster_size': 6, 'min_samples': 4, 'cluster_selection_epsilon': 1.1067759358837175, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[ 7.3306885  11.968824  ]
 [20.109884    0.77371603]
 [-8.676471    8.1552    ]
 [15.2626295  -4.9614058 ]
 [-0.2661436   9.942755  ]
 [16.376392    4.6355996 ]
 [-2.3268547  -6.473371  ]
 [12.730542    1.1935731 ]
 [11.604657    1.90089   ]
 [ 4.121142    4.0000443 ]
 [ 0.8028214   0.13622639]
 [-2.9763222  -4.1292567 ]]";[11 11 11 ... 11 11 11];Counter({11: 3025, 8: 1400, 5: 163, 7: 135, 3: 107, 0: 69, 1: 49, 6: 34, 2: 33, 4: 24, 10: 17, 9: 10});{-1: 0, 1: 5066};1.3387653544255493;;;1.3387653544255493;1.3387653544255493
9;23;hdbscan;davies_noise;optuna;200;True;standard;umap;{'metric': 'euclidean', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.3};2;"              0         1
0      0.718602 -0.831859
1      0.717522 -0.849041
2      0.757959 -0.926040
3      0.715893 -0.682187
4      0.815220 -0.675807
...         ...       ...
5061  13.605433  1.287742
5062   2.699963  4.335137
5063   2.762483  4.158709
5064   3.084923  2.635701
5065   2.713265  4.073883

[5066 rows x 2 columns]";13;{'min_cluster_size': 2, 'min_samples': 3, 'cluster_selection_epsilon': 0.5066381016811077, 'metric': 'euclidean', 'cluster_selection_method': 'eom', 'gen_min_span_tree': True};"[[10.141895    7.5157723 ]
 [-0.90398026 -5.9141517 ]
 [13.501419   -3.8717442 ]
 [-6.7737727   5.538684  ]
 [11.793184   -5.751672  ]
 [13.629584    0.2846387 ]
 [ 4.1556454   2.5111864 ]
 [ 2.9372857   1.8992006 ]
 [ 2.158187   -0.37387308]
 [11.174052    4.577087  ]
 [12.113599    4.9685197 ]
 [-4.304375    1.0010588 ]
 [ 1.7860749   3.7135746 ]]";[12 12 12 ... 12  7 12];Counter({12: 2894, 5: 1519, 10: 161, 7: 130, 4: 118, 0: 69, 2: 49, 1: 34, 11: 33, 3: 24, 8: 17, 6: 10, 9: 8});{-1: 0, 1: 5066};1.1715960194574306;;;1.1715960194574306;1.1715960194574306
