cluster;total_img;predominant_category;success_percent;homogeneity_k;entropy_k;category_llava;count
0;43;LANDFORMS;97.67441860465115;0.9767441860465116;0.15935006268563445;HERITAGE AND CULTURE;1
0;43;LANDFORMS;97.67441860465115;0.9767441860465116;0.15935006268563445;LANDFORMS;42
1;48;HERITAGE AND CULTURE;41.66666666666667;0.4166666666666667;1.7367022325423542;HERITAGE AND CULTURE;20
1;48;HERITAGE AND CULTURE;41.66666666666667;0.4166666666666667;1.7367022325423542;HIKING;5
1;48;HERITAGE AND CULTURE;41.66666666666667;0.4166666666666667;1.7367022325423542;HIKING TRAIL;5
1;48;HERITAGE AND CULTURE;41.66666666666667;0.4166666666666667;1.7367022325423542;LANDFORMS;18
2;38;HERITAGE AND CULTURE;92.10526315789474;0.9210526315789473;0.47095631362585333;Church;1
2;38;HERITAGE AND CULTURE;92.10526315789474;0.9210526315789473;0.47095631362585333;HERITAGE AND CULTURE;35
2;38;HERITAGE AND CULTURE;92.10526315789474;0.9210526315789473;0.47095631362585333;LANDFORMS;2
3;50;HERITAGE AND CULTURE;62.0;0.62;1.2401872986523066;Cultural Ecosystem Services;4
3;50;HERITAGE AND CULTURE;62.0;0.62;1.2401872986523066;HERITAGE AND CULTURE;31
3;50;HERITAGE AND CULTURE;62.0;0.62;1.2401872986523066;LANDFORMS;15
4;29;HERITAGE AND CULTURE;55.172413793103445;0.5517241379310345;0.9922666387194963;HERITAGE AND CULTURE;16
4;29;HERITAGE AND CULTURE;55.172413793103445;0.5517241379310345;0.9922666387194963;LANDFORMS;13
5;26;LANDFORMS;100.0;1.0;0.0;LANDFORMS;26
6;60;LANDFORMS;40.0;0.4;1.8647004336074307;AIR ACTIVITIES;1
6;60;LANDFORMS;40.0;0.4;1.8647004336074307;HERITAGE AND CULTURE;11
6;60;LANDFORMS;40.0;0.4;1.8647004336074307;HIKING;20
6;60;LANDFORMS;40.0;0.4;1.8647004336074307;HIKING TRAIL;4
6;60;LANDFORMS;40.0;0.4;1.8647004336074307;LANDFORMS;24
7;39;LANDFORMS;94.87179487179486;0.9487179487179487;0.29181825659888583;HERITAGE AND CULTURE;2
7;39;LANDFORMS;94.87179487179486;0.9487179487179487;0.29181825659888583;LANDFORMS;37
8;49;LANDFORMS;97.95918367346938;0.9795918367346939;0.14372616993938178;Insect;1
8;49;LANDFORMS;97.95918367346938;0.9795918367346939;0.14372616993938178;LANDFORMS;48
9;46;HERITAGE AND CULTURE;52.17391304347826;0.5217391304347826;1.126219219194802;HERITAGE AND CULTURE;24
9;46;HERITAGE AND CULTURE;52.17391304347826;0.5217391304347826;1.126219219194802;LANDFORMS;21
9;46;HERITAGE AND CULTURE;52.17391304347826;0.5217391304347826;1.126219219194802;NOT VALID;1
10;24;LANDFORMS;100.0;1.0;0.0;LANDFORMS;24
11;30;LANDFORMS;80.0;0.8;1.172253928364927;A;1
11;30;LANDFORMS;80.0;0.8;1.172253928364927;AREA OF MANAGEMENT;1
11;30;LANDFORMS;80.0;0.8;1.172253928364927;El clima;1
11;30;LANDFORMS;80.0;0.8;1.172253928364927;LANDFORMS;24
11;30;LANDFORMS;80.0;0.8;1.172253928364927;NOT VALID;2
11;30;LANDFORMS;80.0;0.8;1.172253928364927;RIBS HOUSE;1
12;21;LANDFORMS;100.0;1.0;0.0;LANDFORMS;21
13;25;LANDFORMS;92.0;0.92;0.4021791902022729;Insect;2
13;25;LANDFORMS;92.0;0.92;0.4021791902022729;LANDFORMS;23
14;24;LANDFORMS;95.83333333333334;0.9583333333333334;0.24988229283318544;HERITAGE AND CULTURE;1
14;24;LANDFORMS;95.83333333333334;0.9583333333333334;0.24988229283318544;LANDFORMS;23
15;30;LANDFORMS;100.0;1.0;0.0;LANDFORMS;30
16;38;LANDFORMS;97.36842105263158;0.9736842105263158;0.17556502585750278;LANDFORMS;37
16;38;LANDFORMS;97.36842105263158;0.9736842105263158;0.17556502585750278;VEHICLE;1
17;40;LANDFORMS;97.5;0.975;0.16866093149667025;CULTURAL ECOSYSTEM SERVICES;1
17;40;LANDFORMS;97.5;0.975;0.16866093149667025;LANDFORMS;39
18;46;Insect;56.52173913043478;0.5652173913043478;0.9876925088958033;Insect;26
18;46;Insect;56.52173913043478;0.5652173913043478;0.9876925088958033;LANDFORMS;20
19;40;LANDFORMS;97.5;0.975;0.16866093149667025;Insect;1
19;40;LANDFORMS;97.5;0.975;0.16866093149667025;LANDFORMS;39
20;28;LANDFORMS;100.0;1.0;0.0;LANDFORMS;28
21;19;LANDFORMS;100.0;1.0;0.0;LANDFORMS;19
22;37;LANDFORMS;89.1891891891892;0.8918918918918919;0.4941829348497886;HERITAGE AND CULTURE;4
22;37;LANDFORMS;89.1891891891892;0.8918918918918919;0.4941829348497886;LANDFORMS;33
23;90;LANDFORMS;95.55555555555556;0.9555555555555556;0.2983680251458537;Insect;3
23;90;LANDFORMS;95.55555555555556;0.9555555555555556;0.2983680251458537;LANDFORMS;86
23;90;LANDFORMS;95.55555555555556;0.9555555555555556;0.2983680251458537;NOT VALID;1
24;20;HERITAGE AND CULTURE;85.0;0.85;0.6098403047164005;HERITAGE AND CULTURE;17
24;20;HERITAGE AND CULTURE;85.0;0.85;0.6098403047164005;LANDFORMS;3
25;31;LANDFORMS;74.19354838709677;0.7419354838709677;0.8238116333123173;HERITAGE AND CULTURE;8
25;31;LANDFORMS;74.19354838709677;0.7419354838709677;0.8238116333123173;LANDFORMS;23
26;29;LANDFORMS;93.10344827586206;0.9310344827586207;0.4310167689753773;HERITAGE AND CULTURE;1
26;29;LANDFORMS;93.10344827586206;0.9310344827586207;0.4310167689753773;LANDFORMS;27
26;29;LANDFORMS;93.10344827586206;0.9310344827586207;0.4310167689753773;Restaurante Alfy;1
27;63;LANDFORMS;98.4126984126984;0.9841269841269841;0.11759466565886476;Insect;1
27;63;LANDFORMS;98.4126984126984;0.9841269841269841;0.11759466565886476;LANDFORMS;62
28;20;LANDFORMS;60.0;0.6;0.9709505944546688;HERITAGE AND CULTURE;8
28;20;LANDFORMS;60.0;0.6;0.9709505944546688;LANDFORMS;12
29;22;LANDFORMS;86.36363636363636;0.8636363636363636;0.5746356978376794;HERITAGE AND CULTURE;3
29;22;LANDFORMS;86.36363636363636;0.8636363636363636;0.5746356978376794;LANDFORMS;19
30;30;LANDFORMS;96.66666666666667;0.9666666666666667;0.21084230031853216;Insect;1
30;30;LANDFORMS;96.66666666666667;0.9666666666666667;0.21084230031853216;LANDFORMS;29
31;20;LANDFORMS;60.0;0.6;1.3954618442383218;Cultural Ecosystem Services;1
31;20;LANDFORMS;60.0;0.6;1.3954618442383218;HERITAGE AND CULTURE;6
31;20;LANDFORMS;60.0;0.6;1.3954618442383218;LANDFORMS;12
31;20;LANDFORMS;60.0;0.6;1.3954618442383218;NOT VALID;1
32;18;LANDFORMS;100.0;1.0;0.0;LANDFORMS;18
33;45;LANDFORMS;97.77777777777777;0.9777777777777777;0.15374218032876188;Insect;1
33;45;LANDFORMS;97.77777777777777;0.9777777777777777;0.15374218032876188;LANDFORMS;44
34;31;HERITAGE AND CULTURE;61.29032258064516;0.6129032258064516;1.2769435597232495;Cultural Ecosystem Services;3
34;31;HERITAGE AND CULTURE;61.29032258064516;0.6129032258064516;1.2769435597232495;HERITAGE AND CULTURE;19
34;31;HERITAGE AND CULTURE;61.29032258064516;0.6129032258064516;1.2769435597232495;LANDFORMS;9
35;33;LANDFORMS;87.87878787878788;0.8787878787878788;0.5328350630342235;HERITAGE AND CULTURE;4
35;33;LANDFORMS;87.87878787878788;0.8787878787878788;0.5328350630342235;LANDFORMS;29
36;32;LANDFORMS;100.0;1.0;0.0;LANDFORMS;32
37;16;HERITAGE AND CULTURE;50.0;0.5;1.0;HERITAGE AND CULTURE;8
37;16;HERITAGE AND CULTURE;50.0;0.5;1.0;LANDFORMS;8
38;31;LANDFORMS;96.7741935483871;0.967741935483871;0.20559250818508307;Insect;1
38;31;LANDFORMS;96.7741935483871;0.967741935483871;0.20559250818508307;LANDFORMS;30
39;48;LANDFORMS;77.08333333333334;0.7708333333333334;1.1182696052487735;ATESTEKI;1
39;48;LANDFORMS;77.08333333333334;0.7708333333333334;1.1182696052487735;HERITAGE AND CULTURE;7
39;48;LANDFORMS;77.08333333333334;0.7708333333333334;1.1182696052487735;HUMAN;2
39;48;LANDFORMS;77.08333333333334;0.7708333333333334;1.1182696052487735;KIPSTA;1
39;48;LANDFORMS;77.08333333333334;0.7708333333333334;1.1182696052487735;LANDFORMS;37
40;25;LANDFORMS;64.0;0.64;1.2177968115985958;Cultural Ecosystem Services;2
40;25;LANDFORMS;64.0;0.64;1.2177968115985958;HERITAGE AND CULTURE;7
40;25;LANDFORMS;64.0;0.64;1.2177968115985958;LANDFORMS;16
41;38;LANDFORMS;86.8421052631579;0.868421052631579;0.5617526078313283;HERITAGE AND CULTURE;5
41;38;LANDFORMS;86.8421052631579;0.868421052631579;0.5617526078313283;LANDFORMS;33
42;18;LANDFORMS;88.88888888888889;0.8888888888888888;0.5032583347756457;HERITAGE AND CULTURE;2
42;18;LANDFORMS;88.88888888888889;0.8888888888888888;0.5032583347756457;LANDFORMS;16
43;30;LANDFORMS;100.0;1.0;0.0;LANDFORMS;30
44;43;HERITAGE AND CULTURE;62.7906976744186;0.627906976744186;0.9522656254366643;HERITAGE AND CULTURE;27
44;43;HERITAGE AND CULTURE;62.7906976744186;0.627906976744186;0.9522656254366643;LANDFORMS;16
45;35;LANDFORMS;85.71428571428571;0.8571428571428571;0.5916727785823274;Insect;5
45;35;LANDFORMS;85.71428571428571;0.8571428571428571;0.5916727785823274;LANDFORMS;30
46;20;LANDFORMS;80.0;0.8;0.7219280948873623;Insect;4
46;20;LANDFORMS;80.0;0.8;0.7219280948873623;LANDFORMS;16
47;17;LANDFORMS;88.23529411764706;0.8823529411764706;0.5225593745369408;HERITAGE AND CULTURE;2
47;17;LANDFORMS;88.23529411764706;0.8823529411764706;0.5225593745369408;LANDFORMS;15
48;38;LANDFORMS;86.8421052631579;0.868421052631579;0.5617526078313283;Insect;5
48;38;LANDFORMS;86.8421052631579;0.868421052631579;0.5617526078313283;LANDFORMS;33
49;26;LANDFORMS;96.15384615384616;0.9615384615384616;0.2351933818192415;HERITAGE AND CULTURE;1
49;26;LANDFORMS;96.15384615384616;0.9615384615384616;0.2351933818192415;LANDFORMS;25
50;28;LANDFORMS;96.42857142857143;0.9642857142857143;0.22228483068568797;HERITAGE AND CULTURE;1
50;28;LANDFORMS;96.42857142857143;0.9642857142857143;0.22228483068568797;LANDFORMS;27
51;41;LANDFORMS;100.0;1.0;0.0;LANDFORMS;41
52;37;LANDFORMS;86.48648648648648;0.8648648648648649;0.7025645142191264;HERITAGE AND CULTURE;2
52;37;LANDFORMS;86.48648648648648;0.8648648648648649;0.7025645142191264;LANDFORMS;32
52;37;LANDFORMS;86.48648648648648;0.8648648648648649;0.7025645142191264;NOT VALID;3
53;45;LANDFORMS;100.0;1.0;0.0;LANDFORMS;45
54;21;LANDFORMS;57.14285714285714;0.5714285714285714;1.96281504141429;CULTURAL ECOSYSTEM SERVICES;1
54;21;LANDFORMS;57.14285714285714;0.5714285714285714;1.96281504141429;GENERALLIFE;1
54;21;LANDFORMS;57.14285714285714;0.5714285714285714;1.96281504141429;HERITAGE AND CULTURE;1
54;21;LANDFORMS;57.14285714285714;0.5714285714285714;1.96281504141429;HISTORIA DE LA ALHAMBRA;1
54;21;LANDFORMS;57.14285714285714;0.5714285714285714;1.96281504141429;LANDFORMS;12
54;21;LANDFORMS;57.14285714285714;0.5714285714285714;1.96281504141429;NOT VALID;4
54;21;LANDFORMS;57.14285714285714;0.5714285714285714;1.96281504141429;Washington Irving;1
55;34;LANDFORMS;100.0;1.0;0.0;LANDFORMS;34
56;11;LANDFORMS;100.0;1.0;0.0;LANDFORMS;11
57;29;LANDFORMS;89.65517241379311;0.896551724137931;0.4798320236161284;HERITAGE AND CULTURE;3
57;29;LANDFORMS;89.65517241379311;0.896551724137931;0.4798320236161284;LANDFORMS;26
58;36;LANDFORMS;100.0;1.0;0.0;LANDFORMS;36
59;23;LANDFORMS;95.65217391304348;0.9565217391304348;0.2580186686648155;HERITAGE AND CULTURE;1
59;23;LANDFORMS;95.65217391304348;0.9565217391304348;0.2580186686648155;LANDFORMS;22
60;24;HERITAGE AND CULTURE;100.0;1.0;0.0;HERITAGE AND CULTURE;24
61;52;LANDFORMS;98.07692307692307;0.9807692307692307;0.1370994788998177;LANDFORMS;51
61;52;LANDFORMS;98.07692307692307;0.9807692307692307;0.1370994788998177;Vehicle;1
62;23;LANDFORMS;100.0;1.0;0.0;LANDFORMS;23
63;26;LANDFORMS;100.0;1.0;0.0;LANDFORMS;26
64;30;LANDFORMS;100.0;1.0;0.0;LANDFORMS;30
65;12;LANDFORMS;100.0;1.0;0.0;LANDFORMS;12
66;22;Insect;63.63636363636363;0.6363636363636364;0.9456603046006401;Insect;14
66;22;Insect;63.63636363636363;0.6363636363636364;0.9456603046006401;LANDFORMS;8
67;6;LANDFORMS;83.33333333333334;0.8333333333333334;0.6500224216483541;HERITAGE AND CULTURE;1
67;6;LANDFORMS;83.33333333333334;0.8333333333333334;0.6500224216483541;LANDFORMS;5
68;46;LANDFORMS;93.47826086956522;0.9347826086956522;0.4077057723137473;HERITAGE AND CULTURE;1
68;46;LANDFORMS;93.47826086956522;0.9347826086956522;0.4077057723137473;LANDFORMS;43
68;46;LANDFORMS;93.47826086956522;0.9347826086956522;0.4077057723137473;Water Activities;2
69;29;LANDFORMS;93.10344827586206;0.9310344827586207;0.4310167689753773;AIR ACTIVITIES;1
69;29;LANDFORMS;93.10344827586206;0.9310344827586207;0.4310167689753773;LANDFORMS;27
69;29;LANDFORMS;93.10344827586206;0.9310344827586207;0.4310167689753773;Waterfall;1
70;11;LANDFORMS;63.63636363636363;0.6363636363636364;0.9456603046006401;HERITAGE AND CULTURE;4
70;11;LANDFORMS;63.63636363636363;0.6363636363636364;0.9456603046006401;LANDFORMS;7
71;26;LANDFORMS;96.15384615384616;0.9615384615384616;0.2351933818192415;HERITAGE AND CULTURE;1
71;26;LANDFORMS;96.15384615384616;0.9615384615384616;0.2351933818192415;LANDFORMS;25
72;25;LANDFORMS;80.0;0.8;0.7219280948873623;HERITAGE AND CULTURE;5
72;25;LANDFORMS;80.0;0.8;0.7219280948873623;LANDFORMS;20
73;33;HERITAGE AND CULTURE;57.57575757575758;0.5757575757575758;1.3013862992796092;HERITAGE AND CULTURE;19
73;33;HERITAGE AND CULTURE;57.57575757575758;0.5757575757575758;1.3013862992796092;LANDFORMS;11
